Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$489,990",3.0,2.0,1871.0,"139 Lehigh Drive, Winchester, VA",Lexington Basement in Senseny Village,https://www.lennar.comclass=
Move-in ready,"$549,990",4.0,3.0,2911.0,"215 Lehigh Drive, Winchester, VA",Lexington Basement in Senseny Village,https://www.lennar.comclass=
Move-in ready,"$589,990",4.0,3.5,3096.0,"211 Lehigh Drive, Winchester, VA",Harlow II Basement in Senseny Village,https://www.lennar.comclass=
Move-in ready,"$564,990",5.0,3.5,3864.0,"140 Lehigh Drive, Winchester, VA",Powell Basement in Senseny Village,https://www.lennar.comclass=
Move-in ready,"$544,990",4.0,3.5,2862.0,"105 Menasha Court, Winchester, VA",Powell Basement in Senseny Village,https://www.lennar.comclass=
Under construction,"$499,990",4.0,2.5,2229.0,"203 Lehigh Drive, Winchester, VA",Plymouth Basement in Senseny Village,https://www.lennar.comclass=
Under construction,"$539,990",4.0,2.5,2682.0,"201 Lehigh Drive, Winchester, VA",Powell Basement in Senseny Village,https://www.lennar.comclass=
Coming soon,High $400K,3.0,3.0,2352.0,"Lot 2178 Blackford Drive, Jeffersonton, VA",Edenton II in Stonehaven,https://www.lennar.comclass=
Coming soon,High $600K,4.0,2.5,3096.0,"Lot 2216 Hawkshill Drive, Jeffersonton, VA",Harlow II in Stonehaven,https://www.lennar.comclass=
Coming soon,Mid $400K,3.0,3.0,1963.0,"Lot 2134 Stonehaven Avenue, Jeffersonton, VA",Savannah in Stonehaven,https://www.lennar.comclass=
Coming soon,Mid $400K,3.0,3.0,1963.0,"Lot 2135 Stonehaven Avenue, Jeffersonton, VA",Savannah in Stonehaven,https://www.lennar.comclass=
Coming soon,Mid $400K,3.0,3.0,1963.0,"Lot 2143 Stonehaven Avenue, Jeffersonton, VA",Savannah in Stonehaven,https://www.lennar.comclass=
Coming soon,Low $600K,3.0,2.0,1810.0,"Lot 2196 Gleneagle Drive, Jeffersonton, VA",Lexington in Stonehaven,https://www.lennar.comclass=
Coming soon,Low $600K,4.0,2.5,2796.0,"Lot 2243 Gleaneagle Drive, Jeffersonton, VA",Williamsburg in Stonehaven,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/winchester/senseny-village/american-dream-series/charleston
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/winchester/senseny-village/american-dream-series/fairfield
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/winchester/senseny-village/single-family-homes/columbia-basement
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/winchester/senseny-village/single-family-homes/columbia-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/winchester/senseny-village/single-family-homes/harlow-ii-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/winchester/senseny-village/single-family-homes/innisbrook-basement
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/winchester/senseny-village/single-family-homes/lexington-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/jeffersonton/stonehaven/estate-collection/azalea
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/jeffersonton/stonehaven/estate-collection/concord
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/jeffersonton/stonehaven/estate-collection/macarthur
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/jeffersonton/stonehaven/executive-collection/bonnington
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/jeffersonton/stonehaven/executive-collection/columbia
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/jeffersonton/stonehaven/executive-collection/innisbrook
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/jeffersonton/stonehaven/signature-collection/plymouth
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/va-dc-metro/jeffersonton/stonehaven/signature-collection/powell
