Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$369,430",3.0,2.5,2248.0,"4108 Lord Dunmore Drive, Williamsburg, VA",Jefferson - Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$458,000",4.0,3.5,2717.0,"9124 Daydreamer Court, Toano, VA",Colchester in Reflections at Stonehouse,https://www.lennar.comclass=
Move-in ready,"$534,000",5.0,4.5,3812.0,"9141 Daydreamer Court, Toano, VA",Colchester in Reflections at Stonehouse,https://www.lennar.comclass=
Move-in ready,"$426,000",4.0,2.5,2515.0,"9148 Daydreamer Court, Toano, VA",Cumbria in Reflections at Stonehouse,https://www.lennar.comclass=
Move-in ready,"$448,000",4.0,3.5,2702.0,"9156 Daydreamer Court, Toano, VA",Colchester in Reflections at Stonehouse,https://www.lennar.comclass=
Move-in ready,"$369,990",4.0,3.5,2456.0,"4110 Lord Dunmore Drive, Williamsburg, VA",Lafayette - Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.comclass=
Move-in ready,"$374,000",3.0,3.5,3159.0,"5245 Twilight Court, Toano, VA",Lafayette - Basement in Reflections at Stonehouse,https://www.lennar.comclass=
Under construction,"$336,165",3.0,2.5,2159.0,"5260 Twilight Court, Toano, VA",Lafayette - Slab in Reflections at Stonehouse,https://www.lennar.comclass=
Under construction,"$359,000",3.0,2.5,2159.0,"5256 Twilight Court, Toano, VA",Lafayette - Slab in Reflections at Stonehouse,https://www.lennar.comclass=
Under construction,"$394,990",3.0,2.5,2248.0,"3672 Isaac Circle, Williamsburg, VA",Jefferson - Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.comclass=
Under construction,"$385,940",3.0,2.5,2159.0,"3674 Isaac Circle, Williamsburg, VA",Lafayette - Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.comclass=
Under construction,"$433,795",3.0,2.5,2183.0,"3678 Isaac Circle, Williamsburg, VA",Lafayette - Slab in Colonial Heritage | Active Adult 55+,https://www.lennar.comclass=
Coming soon,Mid $600K,3.0,3.0,3256.0,"Lot 5132 Fallon Circle, Williamsburg, VA",James II Basement in Colonial Heritage | Active Adult 55+,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/discovery-ii-basement
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/duke-ii-basement
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/jamestown-collection--active-adult/duke-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/williamsburg-collection--active-adult/commonwealth-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/williamsburg-collection--active-adult/liberty-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/chesapeake-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/gloucester-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/williamsburg/colonialheritageactiveadult55/yorktown-collection--active-adult/york-slab
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/toano/reflections-at-stonehouse/single-family-homes/lorton
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/toano/reflections-at-stonehouse/villa-homes/jefferson-basement
Future release,,,,,,,https://www.lennar.com/new-homes/virginia/williamsburg/toano/reflections-at-stonehouse/villa-homes/jefferson-slab
