Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$499,950",4.0,2.5,2704.0,"24359 E. Harrier Loop, Liberty Lake, WA",Stevenson in Stonehill,https://www.lennar.comclass=
Move-in ready,"$369,950",3.0,2.5,1751.0,"24560 E. Harrier Ln., Liberty Lake, WA",Endeavor in Stonehill,https://www.lennar.comclass=
Move-in ready,"$554,950",4.0,3.0,2786.0,"24365 E. Harrier Loop, Liberty Lake, WA",Hawthorn in Stonehill,https://www.lennar.comclass=
Move-in ready,"$349,950",3.0,2.5,1751.0,"24530 E. Harrier Ln., Liberty Lake, WA",Endeavor in Stonehill,https://www.lennar.comclass=
Move-in ready,"$364,950",2.0,2.0,1016.0,"4497 W. Brookfield Ave., Spokane, WA",Easton in Woodridge,https://www.lennar.comclass=
Move-in ready,"$474,950",4.0,2.5,2704.0,"24369 E. Harrier Loop, Liberty Lake, WA",Stevenson in Stonehill,https://www.lennar.comclass=
Move-in ready,"$334,950",2.0,2.0,1016.0,"4525 W. Brookfield Ave., Spokane, WA",Easton in Woodridge,https://www.lennar.comclass=
Move-in ready,"$497,950",4.0,2.5,2213.0,"24396 E. Harrier Lane, Liberty Lake, WA",Hazelwood in Stonehill,https://www.lennar.comclass=
Move-in ready,"$349,950",3.0,2.5,1567.0,"24510 E. Harrier Ln., Liberty Lake, WA",Atlantis in Stonehill,https://www.lennar.comclass=
Move-in ready,"$499,950",3.0,2.0,1670.0,"2914 N Barton Loop, Post Falls, ID",Hamilton 3-Car in Corbin Meadows,https://www.lennar.comclass=
Move-in ready,"$449,950",4.0,2.5,2438.0,"10888 N. Paiute St, Spokane, WA",Riesling in Woodridge,https://www.lennar.comclass=
Move-in ready,"$544,950",4.0,3.0,2786.0,"24343 E. Harrier Loop, Liberty Lake, WA",Hawthorn in Stonehill,https://www.lennar.comclass=
Move-in ready,"$384,950",3.0,2.5,1880.0,"10854 N. Paiute St, Spokane, WA",Chardonnay in Woodridge,https://www.lennar.comclass=
Under construction,"$549,950",4.0,3.0,2786.0,"3124 N Marni Rd, Post Falls, ID",Hawthorn in Corbin Meadows,https://www.lennar.comclass=
Under construction,"$424,950",4.0,2.5,2438.0,"10820 N. Paiute St, Spokane, WA",Riesling in Woodridge,https://www.lennar.comclass=
Under construction,"$474,950",3.0,2.0,1670.0,"3098 N Marni Rd, Post Falls, ID",Hamilton 3-Car in Corbin Meadows,https://www.lennar.comclass=
Under construction,"$487,950",3.0,2.5,2016.0,"2626 N. Swainson Lane, Liberty Lake, WA",Goldenwood in Stonehill,https://www.lennar.comclass=
Under construction,"$544,950",3.0,3.0,2551.0,"3080 N Marni Rd, Post Falls, ID",Davenport 3-Car in Corbin Meadows,https://www.lennar.comclass=
Under construction,"$572,950",4.0,2.5,2705.0,"2870 N Barton Loop, Post Falls, ID",Stevenson 3-Car in Corbin Meadows,https://www.lennar.comclass=
Under construction,"$484,950",3.0,2.0,1669.0,"3062 N Marni Rd, Post Falls, ID",Hamilton in Corbin Meadows,https://www.lennar.comclass=
Under construction,"$444,950",4.0,2.5,2120.0,"4418 Connaught Avenue, Spokane, WA",Merlot in Woodridge,https://www.lennar.comclass=
Under construction,"$599,950",3.0,2.5,2242.0,"3128 N Allison St, Post Falls, ID",Benton 3-Car in Corbin Meadows,https://www.lennar.comclass=
Under construction,"$399,950",3.0,2.0,1266.0,"4443 Connaught Avenue, Spokane, WA",Livingston in Woodridge,https://www.lennar.comclass=
Under construction,"$474,950",4.0,2.5,2165.0,"24349 E. Harrier Loop, Liberty Lake, WA",Birch in Stonehill,https://www.lennar.comclass=
Under construction,"$414,950",4.0,2.5,1671.0,"4454 Connaught Avenue, Spokane, WA",Cabernet in Woodridge,https://www.lennar.comclass=
Under construction,"$592,950",3.0,2.5,2241.0,"3135 N Marni Rd, Post Falls, ID",Benton in Corbin Meadows,https://www.lennar.comclass=
Under construction,"$624,950",3.0,2.5,2242.0,"3105 N Marni Rd, Post Falls, ID",Benton 3-Car in Corbin Meadows,https://www.lennar.comclass=
Under construction,"$594,950",4.0,2.5,2704.0,"10681 Paiute Drive, Spokane, WA",Stevenson in Woodridge,https://www.lennar.comclass=
Under construction,"$639,950",5.0,3.0,3081.0,"10659 Paiute Drive, Spokane, WA",Meridian in Woodridge,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/post-falls/corbin-meadows/davenport
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/post-falls/corbin-meadows/stevenson
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/cottage-collection/briarwood
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/cottage-collection/goldenwood
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/cottage-collection/hazelwood
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/manor-collection/benton-ii
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/manor-collection/davenport
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/manor-collection/davenport-3-car
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/manor-collection/hamilton
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/manor-collection/stevenson
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/manor-collection/stevenson-3-car
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/townhome-collection/aldrin
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/townhome-collection/armstrong
Future release,,,,,,,https://www.lennar.com/new-homes/idaho/inland-northwest/hayden/hayden-canyon/townhome-collection/collins
Future release,,,,,,,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/cottage-collection/briarwood
Future release,,,,,,,https://www.lennar.com/new-homes/washington/inland-northwest/liberty-lake/stonehill/townhome-collection/apollo
Future release,,,,,,,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/platinum-collection/bailey-3-car
Future release,,,,,,,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/platinum-collection/bainbridge
Future release,,,,,,,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/platinum-collection/lincoln
Future release,,,,,,,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/platinum-collection/meridian-3-car
Future release,,,,,,,https://www.lennar.com/new-homes/washington/inland-northwest/spokane/woodridge/platinum-collection/stevenson-3-car
