Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$668,900",4.0,3.0,2634.0,"2824 S 6th Circle, Ridgefield, WA",Burlington in Ridgefield Heights,https://www.lennar.comclass=
Move-in ready,"$648,900",4.0,3.0,2448.0,"2818 S 6th Circle, Ridgefield, WA",Larwood in Ridgefield Heights,https://www.lennar.comclass=
Move-in ready,"$675,400",4.0,3.0,2285.0,"2825 S 6th Circle, Ridgefield, WA",Cameron in Ridgefield Heights,https://www.lennar.comclass=
Under construction,"$745,900",4.0,3.5,3180.0,"2819 S 6th Circle, Ridgefield, WA",Bainbridge in Ridgefield Heights,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/washington/vancouver/longview/mt-solo-place/arlington
Future release,,,,,,,https://www.lennar.com/new-homes/washington/vancouver/longview/mt-solo-place/ashland
Future release,,,,,,,https://www.lennar.com/new-homes/washington/vancouver/longview/mt-solo-place/dahlia
Future release,,,,,,,https://www.lennar.com/new-homes/washington/vancouver/longview/mt-solo-place/elmhurst
Future release,,,,,,,https://www.lennar.com/new-homes/washington/vancouver/longview/mt-solo-place/monroe
Future release,,,,,,,https://www.lennar.com/new-homes/washington/vancouver/longview/mt-solo-place/trenton
Future release,,,,,,,https://www.lennar.com/new-homes/washington/vancouver/ridgefield/ridgefield-heights/elmhurst
Future release,,,,,,,https://www.lennar.com/new-homes/washington/vancouver/ridgefield/ridgefield-heights/endicott
