Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Under construction,"$449,090",4.0,2.5,1996.0,"118 Solstice Way, Charles Town, WV",Charleston in Norborne Glebe,https://www.lennar.comclass=
Coming soon,Mid $400K,4.0,2.5,1996.0,"Lot 0020 Solstice Way, Charles Town, WV",Charleston in Norborne Glebe,https://www.lennar.comclass=
Coming soon,High $400K,4.0,2.5,2411.0,"Lot 0021 Solstice Way, Charles Town, WV",Windsor in Norborne Glebe,https://www.lennar.comclass=
Coming soon,Low $300K,3.0,2.5,1646.0,"Lot 0114 Winterplace Drive, Charles Town, WV",Lancaster in Norborne Glebe,https://www.lennar.comclass=
Coming soon,Low $300K,3.0,2.5,1646.0,"Lot 0105 Winterplace Drive, Charles Town, WV",Lancaster in Norborne Glebe,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.5,1793.0,"Lot 0110 Winterplace Drive, Charles Town, WV",Savannah in Norborne Glebe,https://www.lennar.comclass=
Coming soon,Mid $300K,3.0,2.5,1793.0,"Lot 0113 Winterplace Drive, Charles Town, WV",Savannah in Norborne Glebe,https://www.lennar.comclass=
Coming soon,Low $500K,4.0,2.5,2814.0,"Lot 0034 Swan Field, Ranson, WV",Briars in Shenandoah Springs,https://www.lennar.comclass=
Coming soon,Mid $400K,4.0,2.5,2197.0,"Lot 0030 Mineral Springs Rd, Ranson, WV",Hamilton in Shenandoah Springs,https://www.lennar.comclass=
Coming soon,Mid $400K,4.0,2.5,2362.0,"Lot 0029 Mineral Springs Rd, Ranson, WV",Primrose in Shenandoah Springs,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/american-dream-series/princeton
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/hampton
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/lexington
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/plymouth
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/powell
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/williamsburg
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/flowing-springs-collection/plymouth
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/flowing-springs-collection/powell
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/mountain-laurel-collection/ashton
Future release,,,,,,,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/mountain-laurel-collection/laurel
