Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$529,180",3.0,2.0,1723.0,"1089 Oregon Parks Ave, Oregon, WI",Rutherford II in Highlands of Netherwood,https://www.lennar.comclass=
Move-in ready,"$489,900",3.0,2.5,2282.0,"4126 Eton Circle, Windsor, WI",Victoria in Windsor Crossing,https://www.lennar.comclass=
Move-in ready,"$479,245",3.0,2.0,1866.0,"709 Narvik Circle, Stoughton, WI",Siena in The Meadows at Kettle Park West,https://www.lennar.comclass=
Move-in ready,"$599,990",3.0,2.5,2146.0,"1568 N. Thompson Road, Sun Prairie, WI",Adams in The Reserve,https://www.lennar.comclass=
Move-in ready,"$509,900",3.0,2.0,1723.0,"1026 Oregon Parks Ave, Oregon, WI",Rutherford II in Highlands of Netherwood,https://www.lennar.comclass=
Move-in ready,"$519,900",4.0,2.5,2632.0,"2800 Telemark Trail, Stoughton, WI",Wren in The Meadows at Kettle Park West,https://www.lennar.comclass=
Move-in ready,"$439,900",3.0,2.5,2063.0,"2609 Telemark Trail, Stoughton, WI",Meadowlark in The Meadows at Kettle Park West,https://www.lennar.comclass=
Move-in ready,"$459,900",3.0,2.0,1866.0,"2617 Telemark Trail, Stoughton, WI",Siena in The Meadows at Kettle Park West,https://www.lennar.comclass=
Move-in ready,"$469,900",4.0,2.5,2203.0,"2625 Telemark Trail, Stoughton, WI",Starling in The Meadows at Kettle Park West,https://www.lennar.comclass=
Move-in ready,"$599,930",4.0,2.5,2686.0,"1562 N. Thompson Road, Sun Prairie, WI",Rainier in The Reserve,https://www.lennar.comclass=
Under construction,"$558,650",4.0,2.5,2218.0,"3997 Banbury Street, Windsor, WI",Starling in Windsor Crossing,https://www.lennar.comclass=
Under construction,"$529,990",3.0,2.0,1866.0,"1042 Oregon Parks Ave, Oregon, WI",Siena II in Highlands of Netherwood,https://www.lennar.comclass=
Under construction,"$519,990",3.0,2.0,1723.0,"1058 Oregon Parks Ave, Oregon, WI",Rutherford II in Highlands of Netherwood,https://www.lennar.comclass=
Under construction,"$573,195",3.0,2.5,2282.0,"3999 Banbury Street, Windsor, WI",Victoria in Windsor Crossing,https://www.lennar.comclass=
Under construction,"$588,925",4.0,2.5,2612.0,"4001 Banbury Street, Windsor, WI",Galveston in Windsor Crossing,https://www.lennar.comclass=
Under construction,"$505,840",3.0,2.5,2052.0,"4129 Eton Circle, Windsor, WI",Meadowlark II in Windsor Crossing,https://www.lennar.comclass=
Under construction,"$585,660",3.0,2.5,2264.0,"1873 Cordova Lane, Sun Prairie, WI",Biscayne in The Reserve,https://www.lennar.comclass=
Coming soon,Low $400K,3.0,2.5,1637.0,"2900 Jackson Street, Stoughton, WI",Glenwood in The Meadows at Kettle Park West,https://www.lennar.comclass=
Coming soon,Mid $400K,4.0,2.5,1792.0,"2908 Jackson Street, Stoughton, WI",Hawthorne in The Meadows at Kettle Park West,https://www.lennar.comclass=
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/oregon/highlands-of-netherwood/meadowlark-ii
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/oregon/highlands-of-netherwood/raleigh-ii
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/oregon/highlands-of-netherwood/ridgefield-ii
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/oregon/highlands-of-netherwood/starling-ii
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/oregon/highlands-of-netherwood/townsend-ii
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/oregon/highlands-of-netherwood/wren-ii
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/stoughton/the-meadows-at-kettle-park-west/brighton
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/stoughton/the-meadows-at-kettle-park-west/essex
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/stoughton/the-meadows-at-kettle-park-west/rutherford
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/stoughton/the-meadows-at-kettle-park-west/townsend
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/sun-prairie/the-reserve/bryce
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/windsor/windsor-crossing/biscayne
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/windsor/windsor-crossing/bryce
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/windsor/windsor-crossing/raleigh
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/windsor/windsor-crossing/ridgefield
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/windsor/windsor-crossing/rutherford-ii
Future release,,,,,,,https://www.lennar.com/new-homes/wisconsin/madison/windsor/windsor-crossing/siena-ii
