Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,431900,4.0,3.0,2828.0,"1739 Partridge ST, Foley, AL",Residence 2828 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2828/21511710034
Move-in ready,339900,3.0,2.5,2033.0,"1166 Pheasant Circle, Foley, AL",Residence 2033 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2033/21511710101
Under construction,366400,4.0,2.0,1815.0,"9815 Lakeview Dr, Foley, AL",Residence 1815 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-1815/21506710027
Under construction,339900,3.0,2.5,2033.0,"1725 Grouse St, Foley, AL",Residence 2033 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2033/21511710051
Under construction,322900,4.0,2.0,1815.0,"1717 Grouse St, Foley, AL",Residence 1815 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-1815/21511710049
Under construction,339900,3.0,2.5,2033.0,"1709 Grouse St, Foley, AL",Residence 2033 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2033/21511710047
Under construction,351900,4.0,3.0,2117.0,"1721 Grouse St, Foley, AL",Residence 2117 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2117/21511710050
Under construction,326400,4.0,2.0,1815.0,"1713 Grouse St, Foley, AL",Residence 1815 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-1815/21511710048
Under construction,351400,4.0,3.0,2117.0,"1722 Grouse St, Foley, AL",Residence 2117 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2117/21511710064
Under construction,364900,3.0,2.0,1911.0,"9816 Lakeview Dr, Foley, AL",Residence 1911 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-1911/21506710059
Under construction,321900,4.0,2.0,1815.0,"1174 Pheasant Circle, Foley, AL",Residence 1815 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-1815/21511710103
Under construction,324900,4.0,2.0,1815.0,"1178 Pheasant Circle, Foley, AL",Residence 1815 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-1815/21511710104
Under construction,341250,3.0,2.5,2033.0,"1154 Pheasant Circle, Foley, AL",Residence 2033 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2033/21511710098
Under construction,348900,4.0,3.0,2117.0,"1170 Pheasant Circle, Foley, AL",Residence 2117 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2117/21511710102
Under construction,351900,4.0,3.0,2117.0,"1182 Pheasant Circle, Foley, AL",Residence 2117 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2117/21511710105
Under construction,325250,4.0,2.0,1815.0,"7035 Marble Court, Gulf Shores, AL",Residence 1815 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-1815/21514710038
Under construction,339900,3.0,2.5,2033.0,"7030 Roger St, Gulf Shores, AL",Residence 2033 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-2033/21514710043
Under construction,324900,4.0,2.0,1815.0,"1718 Grouse St, Foley, AL",Residence 1815 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-1815/21511710065
Under construction,378900,3.0,2.5,2033.0,"9758 Lakeview Dr, Foley, AL",Residence 2033 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-2033/21506710056
Under construction,324900,4.0,2.0,1815.0,"1150 Pheasant Circle, Foley, AL",Residence 1815 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-1815/21511710097
Under construction,353400,4.0,3.0,2117.0,"1146 Pheasant Circle, Foley, AL",Residence 2117 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2117/21511710096
Under construction,324900,4.0,2.0,1815.0,"1710 Grouse St, Foley, AL",Residence 1815 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-1815/21511710067
Under construction,339900,3.0,2.5,2033.0,"1714 Grouse St, Foley, AL",Residence 2033 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2033/21511710066
Under construction,349900,4.0,3.0,2117.0,"1706 Grouse St, Foley, AL",Residence 2117 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2117/21511710068
Under construction,387900,4.0,3.0,2338.0,"1186 Pheasant Circle, Foley, AL",Residence 2338 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2338/21511710106
Under construction,306400,3.0,2.0,1517.0,"1702 Grouse St, Foley, AL",Residence 1517 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-1517/21511710069
Under construction,372900,4.0,2.0,2022.0,"9796 Lakeview Dr, Foley, AL",Residence 2022 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-2022/21506710058
Under construction,341400,3.0,2.5,2033.0,"7041 Marble Court, Gulf Shores, AL",Residence 2033 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-2033/21514710039
Under construction,364400,4.0,2.0,1815.0,"9771 Lakeview Dr, Foley, AL",Residence 1815 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-1815/21506710031
Under construction,366900,3.0,2.0,1846.0,"9759 Lakeview Dr, Foley, AL",Residence 1846 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-1846/21506710032
Under construction,366400,3.0,2.0,1846.0,"9685 Lakeview Dr, Foley, AL",Residence 1846 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-1846/21506710038
Under construction,378900,3.0,2.5,2033.0,"9733 Lakeview Dr, Foley, AL",Residence 2033 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-2033/21506710034
Under construction,326400,4.0,2.0,1815.0,"321 Wickman Ave, Gulf Shores, AL",Residence 1815 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-1815/21514710030
Under construction,330400,4.0,2.0,1815.0,"450 Wickman Ave, Gulf Shores, AL",Residence 1815 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-1815/21514710004
Under construction,332900,4.0,2.0,1815.0,"468 Wickman Ave, Gulf Shores, AL",Residence 1815 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-1815/21514710001
Under construction,339900,3.0,2.5,2033.0,"318 Wickman Ave, Gulf Shores, AL",Residence 2033 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-2033/21514710025
Under construction,345400,3.0,2.5,2033.0,"456 Wickman Ave, Gulf Shores, AL",Residence 2033 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-2033/21514710003
Under construction,363250,4.0,3.0,2117.0,"462 Wickman Ave, Gulf Shores, AL",Residence 2117 in Stonehaven,https://www.lennar.com/new-homes/alabama/coastal-alabama/gulf-shores/stonehaven/residence-2117/21514710002
Future release,372000,4.0,3.0,2117.0,N/A,Residence 2117 in Glenlakes,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/glenlakes/residence-2117
Future release,405000,4.0,3.0,2503.0,N/A,Residence 2503 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-2503
Future release,437000,4.0,3.0,3159.0,N/A,Residence 3159 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-3159
Future release,452000,4.0,3.0,3296.0,N/A,Residence 3296 in Quail Landing,https://www.lennar.com/new-homes/alabama/coastal-alabama/foley/quail-landing/residence-3296
