Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,341650,3.0,2.0,1846.0,"14961 Demaire Ln, Athens, AL",Residence 1846 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-1846/21102710164
Move-in ready,327900,3.0,2.0,1911.0,"14960 Demarie Ln, Athens, AL",Residence 1911 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-1911/21102710123
Move-in ready,409950,3.0,2.5,2369.0,"308 Hay Rake Dr, Madison, AL",Farmhouse Unit 6 in Clift Farm,https://www.lennar.com/new-homes/alabama/huntsville/madison/clift-farm/townhomes/farmhouse-unit-6/21119710004
Move-in ready,409950,3.0,2.5,2369.0,"306 Hay Rake Dr, Madison, AL",Farmhouse Unit 6 in Clift Farm,https://www.lennar.com/new-homes/alabama/huntsville/madison/clift-farm/townhomes/farmhouse-unit-6/21119710003
Move-in ready,318600,3.0,2.0,2033.0,"24212 Costello Dr, Athens, AL",Residence 2033 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-2033/21102710033
Move-in ready,430900,4.0,3.0,2503.0,"21949 Shearwater Dr, Athens, AL",Residence 2503 in Nature's Cove West,https://www.lennar.com/new-homes/alabama/huntsville/athens/natures-cove-west/residence-2503/21115710156
Move-in ready,470505,4.0,3.0,3159.0,"21956 Shearwater Dr, Athens, AL",Residence 3159 in Nature's Cove West,https://www.lennar.com/new-homes/alabama/huntsville/athens/natures-cove-west/residence-3159/21115710154
Move-in ready,359880,4.0,2.0,1815.0,"9507 Hampton Oak Dr SE, Owens Cross Roads, AL",Residence 1815 in Oak Meadows,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/oak-meadows/residence-1815/21129710072
Move-in ready,359380,4.0,2.0,1815.0,"6524 Oak Meadow Dr SE, Owens Cross Roads, AL",Residence 1815 in Oak Meadows,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/oak-meadows/residence-1815/21129710087
Move-in ready,359880,3.0,2.0,1846.0,"6526 Oak Meadow Dr SE, Owens Cross Roads, AL",Residence 1846 in Oak Meadows,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/oak-meadows/residence-1846/21129710086
Move-in ready,353430,3.0,2.0,1696.0,"6520 Oak Meadow Dr SE, Owens Cross Roads, AL",Residence 1696 in Oak Meadows,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/oak-meadows/residence-1696/21129710089
Move-in ready,345930,3.0,2.0,1660.0,"6518 Oak Meadow Dr SE, Owens Cross Roads, AL",Residence 1660 in Oak Meadows,https://www.lennar.com/new-homes/alabama/huntsville/owens-cross-roads/oak-meadows/residence-1660/21129710090
Under construction,331675,3.0,2.0,1846.0,"14716 Greenleaf Dr, Athens, AL",Residence 1846 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-1846/21102710092
Under construction,719900,4.0,3.5,2968.0,"241 Farmhouse Dr, Madison, AL",Bridgeport in Clift Farm,https://www.lennar.com/new-homes/alabama/huntsville/madison/clift-farm/single-family-homes/bridgeport/21103710101
Under construction,460825,3.0,2.5,2060.0,"241 Haystack Dr, Madison, AL",Hickory Cottage in Clift Farm,https://www.lennar.com/new-homes/alabama/huntsville/madison/clift-farm/single-family-homes/hickory-cottage/21103710177
Under construction,331750,3.0,2.0,1846.0,"14765 Greenleaf Dr, Athens, AL",Residence 1846 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-1846/21102710113
Under construction,318950,3.0,2.0,1696.0,"14729 Greenleaf Dr, Athens, AL",Residence 1696 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-1696/21102710116
Under construction,332750,4.0,2.0,1815.0,"14741 Greenleaf Dr, Athens, AL",Residence 1815 in Browns Crossing West,https://www.lennar.com/new-homes/alabama/huntsville/athens/browns-crossing-west/residence-1815/21102710115
