Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$639,990",3.0,3.0,2231.0,"24919 N 175th LN, Surprise, AZ",Wayfarer Plan 5679 in Asante Heritage,https://www.lennar.com/new-homes/arizona/phoenix/surprise/asante-heritage/freedom/wayfarer-plan-5679/3350516020
Move-in ready,"$389,990",3.0,2.5,1771.0,"2456 N Morrison Ave, Casa Grande, AZ",Laurel Plan 3518X in McCartney Ranch - Crossing,https://www.lennar.com/new-homes/arizona/phoenix/casa-grande/mccartney-ranch-crossing/laurel-plan-3518x/3359510068
Move-in ready,"$585,490",5.0,3.0,1953.0,"4156 E CATCLAW ST, Gilbert, AZ",Lewis Plan 3575 in Warner Meadow,https://www.lennar.com/new-homes/arizona/phoenix/gilbert/warner-meadow/discovery/lewis-plan-3575/3330510453
Move-in ready,"$648,490",4.0,3.0,1943.0,"91 E Elmwood Place, Chandler, AZ",Ironwood Plan 3518 in Asher Pointe,https://www.lennar.com/new-homes/arizona/phoenix/chandler/asher-pointe/discovery/ironwood-plan-3518/3317510264
Move-in ready,"$529,990",4.0,3.0,2525.0,"12435 W WAGON WHEEL DR, Glendale, AZ",Revolution Plan 4083 in Marbella Ranch,https://www.lennar.com/new-homes/arizona/phoenix/glendale/marbella-ranch/horizon/revolution-plan-4083/3336510164
Move-in ready,"$399,490",3.0,2.5,1771.0,"455 E Shellie Ct, Casa Grande, AZ",Laurel Plan 3518X in McCartney Ranch - Crossing,https://www.lennar.com/new-homes/arizona/phoenix/casa-grande/mccartney-ranch-crossing/laurel-plan-3518x/3359510127
Move-in ready,"$459,990",4.0,3.0,1943.0,"2577 S BARKS CANYON TRL, Apache Junction, AZ",Ironwood Plan 3518 in Goldview - Discovery,https://www.lennar.com/new-homes/arizona/phoenix/apache-junction/goldview-discovery/ironwood-plan-3518/3276510089
Move-in ready,"$465,490",4.0,3.0,2524.0,"2472 N Morrison Ave, Casa Grande, AZ",Revolution Plan 4083 in McCartney Ranch - Crossing,https://www.lennar.com/new-homes/arizona/phoenix/casa-grande/mccartney-ranch-crossing/revolution-plan-4083/3359510064
Move-in ready,"$419,490",3.0,2.0,1760.0,"9323 W ATLANTIS WAY, Tolleson, AZ",Cypress Plan 4017 in Sunset Farms,https://www.lennar.com/new-homes/arizona/phoenix/tolleson/sunset-farms/horizon/cypress-plan-4017/3381510124
Move-in ready,"$590,490",4.0,3.0,2514.0,"4419 N 93rd Dr, Phoenix, AZ",Revolution Plan 4083 in Western Enclave,https://www.lennar.com/new-homes/arizona/phoenix/phoenix/western-enclave/horizon/revolution-plan-4083/3271510233
Move-in ready,"$468,990",4.0,3.0,2192.0,"17034 W ECHO LN, Waddell, AZ",Douglas Plan 4021 in Northern Crossing,https://www.lennar.com/new-homes/arizona/phoenix/waddell/northern-crossing/horizon/douglas-plan-4021/3305510061
Move-in ready,"$407,490",4.0,2.0,1797.0,"9409 W ATLANTIS WAY, Tolleson, AZ",Barbaro Plan 3570 in Sunset Farms,https://www.lennar.com/new-homes/arizona/phoenix/tolleson/sunset-farms/discovery/barbaro-plan-3570/3346510115
Move-in ready,"$459,990",4.0,3.0,1943.0,"12613 E PIVOT PEAK, Gold Canyon, AZ",Ironwood Plan 3518 in Peralta Canyon,https://www.lennar.com/new-homes/arizona/phoenix/gold-canyon/peralta-canyon/discovery/ironwood-plan-3518/3332510066
Move-in ready,"$591,990",4.0,3.0,2264.0,"2324 E RIDGEWOOD LN, Gilbert, AZ",Sage Plan 4022 in Belrose,https://www.lennar.com/new-homes/arizona/phoenix/gilbert/belrose/horizon/sage-plan-4022/3349510081
Move-in ready,"$741,990",4.0,3.0,2649.0,"97 E Libra Place, Chandler, AZ",Trillium Plan 4585 in Asher Pointe,https://www.lennar.com/new-homes/arizona/phoenix/chandler/asher-pointe/signature/trillium-plan-4585/3318510200
Move-in ready,"$534,990",2.0,2.0,2113.0,"24686 N 174TH LN, Surprise, AZ",Summit Plan 1004 in Asante Heritage,https://www.lennar.com/new-homes/arizona/phoenix/surprise/asante-heritage/encore/summit-plan-1004/13196515055
Move-in ready,"$407,990",2.0,2.0,1459.0,"24708 N 171ST AVE, Surprise, AZ",Dusk Plan 3568 in Asante Heritage,https://www.lennar.com/new-homes/arizona/phoenix/surprise/asante-heritage/tradition/dusk-plan-3568/3325510091
Move-in ready,"$599,990",4.0,3.0,2546.0,"12532 W CASSIA TR, Peoria, AZ",Cottonwood Plan 3524 in Mystic,https://www.lennar.com/new-homes/arizona/phoenix/peoria/mystic/discovery/cottonwood-plan-3524/3314510026
Move-in ready,"$649,990",4.0,3.0,2656.0,"11922 N 189th LN, Surprise, AZ",Trillium Plan 4585 in Zanjero Trails - Signature,https://www.lennar.com/new-homes/arizona/phoenix/surprise/zanjero-trails-signature/trillium-plan-4585/3296512064
Move-in ready,"$879,990",4.0,3.0,3024.0,"186 E Libra Place, Chandler, AZ",Evolution Plan 5582 in Asher Pointe,https://www.lennar.com/new-homes/arizona/phoenix/chandler/asher-pointe/destiny/evolution-plan-5582/3319510227
Move-in ready,"$748,990",4.0,3.0,2649.0,"5570 S Arizona Place, Chandler, AZ",Trillium Plan 4585 in Asher Pointe,https://www.lennar.com/new-homes/arizona/phoenix/chandler/asher-pointe/signature/trillium-plan-4585/3318510209
Move-in ready,"$497,490",4.0,3.0,2274.0,"9312 S 39TH DR, Laveen, AZ",Sage Plan 4022 in Dobbins Village,https://www.lennar.com/new-homes/arizona/phoenix/laveen/dobbins-village/signature/sage-plan-4022/3289510324
Move-in ready,"$511,990",4.0,3.0,2163.0,"2487 N Morrison Ave, Casa Grande, AZ",Wayfarer Plan 5579 in McCartney Ranch - Crossing,https://www.lennar.com/new-homes/arizona/phoenix/casa-grande/mccartney-ranch-crossing/wayfarer-plan-5579/3359510125
Move-in ready,"$418,990",3.0,2.0,1760.0,"9324 W ENCINAS LN, Tolleson, AZ",Cypress Plan 4017 in Sunset Farms,https://www.lennar.com/new-homes/arizona/phoenix/tolleson/sunset-farms/horizon/cypress-plan-4017/3381510094
Move-in ready,"$663,990",4.0,3.0,2274.0,"2061 W. Burnside Trl, Phoenix, AZ",Sage Plan 4022 in Copperleaf,https://www.lennar.com/new-homes/arizona/phoenix/phoenix/copperleaf/signature/sage-plan-4022/3301510012
Move-in ready,"$694,490",4.0,3.0,2524.0,"2057 W. Burnside Trl, Phoenix, AZ",Revolution Plan 4083 in Copperleaf,https://www.lennar.com/new-homes/arizona/phoenix/phoenix/copperleaf/signature/revolution-plan-4083/3301510013
Move-in ready,"$429,990",4.0,2.0,1797.0,"4038 S 94TH LN, Tolleson, AZ",Barbaro Plan 3570 in Sunset Farms,https://www.lennar.com/new-homes/arizona/phoenix/tolleson/sunset-farms/discovery/barbaro-plan-3570/3346510149
Move-in ready,"$604,490",4.0,3.0,2264.0,"2350 E RIDGEWOOD LN, Gilbert, AZ",Sage Plan 4022 in Belrose,https://www.lennar.com/new-homes/arizona/phoenix/gilbert/belrose/horizon/sage-plan-4022/3349510084
Move-in ready,"$391,990",3.0,2.0,1232.0,"5807 N 89TH DR, Glendale, AZ",Jerome Plan 3556 in StoneHaven - Crest,https://www.lennar.com/new-homes/arizona/phoenix/glendale/stonehaven-crest/jerome-plan-3556/3287510009
Move-in ready,"$609,990",4.0,2.5,2468.0,"31650 N 123RD LN, Peoria, AZ",Juniper Plan 4584 in Mystic,https://www.lennar.com/new-homes/arizona/phoenix/peoria/mystic/signature/juniper-plan-4584/3315512074
Move-in ready,"$431,990",3.0,2.0,1594.0,"8912 W SOLANO DR, Glendale, AZ",Gibraltar Plan 3564 in StoneHaven - Crest,https://www.lennar.com/new-homes/arizona/phoenix/glendale/stonehaven-crest/gibraltar-plan-3564/3287510081
Move-in ready,"$394,490",3.0,2.0,1232.0,"5849 N 89TH DR, Glendale, AZ",Jerome Plan 3556 in StoneHaven - Crest,https://www.lennar.com/new-homes/arizona/phoenix/glendale/stonehaven-crest/jerome-plan-3556/3287510016
Move-in ready,"$434,490",3.0,2.0,1594.0,"5819 N 89TH DR, Glendale, AZ",Gibraltar Plan 3564 in StoneHaven - Crest,https://www.lennar.com/new-homes/arizona/phoenix/glendale/stonehaven-crest/gibraltar-plan-3564/3287510011
Move-in ready,"$377,990",3.0,2.0,1400.0,"19407 W PIERSON ST, Litchfield Park, AZ",Bisbee Plan 3565 in The Landings,https://www.lennar.com/new-homes/arizona/phoenix/litchfield-park/the-landings/discovery/bisbee-plan-3565/3344510006
Under construction,"$636,990",4.0,3.0,3024.0,"4011 W ESTES WAY, Laveen, AZ",Evolution Plan 5582 in Dobbins Village,https://www.lennar.com/new-homes/arizona/phoenix/laveen/dobbins-village/destiny/evolution-plan-5582/3290510313
Under construction,"$384,990",2.0,2.0,1238.0,"24761 N 171ST AVE, Surprise, AZ",Sunrise Plan 3559 in Asante Heritage,https://www.lennar.com/new-homes/arizona/phoenix/surprise/asante-heritage/tradition/sunrise-plan-3559/3325510052
