Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$868,591",4.0,3.5,3427.0,"9362 Sugar Bush Circle, Sacramento, CA",The Sequoia - Plan 3427 in Redwood Collection at Parkside,https://www.lennar.com/new-homes/california/sacramento/sacramento/redwood-collection-at-parkside/the-sequoia-plan-3427/1557520072
Move-in ready,"$741,123",4.0,3.5,3156.0,"10933 Monomoy Way, Stockton, CA",Residence 3156 in The Keys at Westlake,https://www.lennar.com/new-homes/california/sacramento/stockton/the-keys-at-westlake/residence-3156/2318510020
Move-in ready,"$585,629",2.0,2.5,2014.0,"4861 Peace Lily Lane, Roseville, CA",Residence 2014 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/lazioactiveadult55/residence-2014/1659510162
Move-in ready,"$565,990",2.0,2.5,1712.0,"4590 Peace Lily Lane, Roseville, CA",Residence 1712 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/moliseactiveadult55/residence-1712/1632510015
Move-in ready,"$648,287",3.0,3.0,2246.0,"4810 Royal Lily Avenue, Roseville, CA",Residence 2246 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/lazioactiveadult55/residence-2246/1659510137
Move-in ready,"$589,990",5.0,3.0,2140.0,"10548 Trill Way, Elk Grove, CA",Residence 2140 in Elements at Sterling Meadows,https://www.lennar.com/new-homes/california/sacramento/elk-grove/elements-at-sterling-meadows/residence-2140/1619512083
Move-in ready,"$549,990",3.0,2.5,1632.0,"10544 Trill Way, Elk Grove, CA",Residence 1632 in Elements at Sterling Meadows,https://www.lennar.com/new-homes/california/sacramento/elk-grove/elements-at-sterling-meadows/residence-1632/1619512085
Move-in ready,"$739,014",4.0,3.5,2786.0,"2121 Terrawood Street, Roseville, CA",Residence 2786 in Corvara II at Campus Oaks,https://www.lennar.com/new-homes/california/sacramento/roseville/corvara-ii-at-campus-oaks/residence-2786/2357517060
Move-in ready,"$688,869",4.0,3.0,2410.0,"9024 Osterville Drive, Roseville, CA",Residence 2410 in Pavia at Fiddyment Farm,https://www.lennar.com/new-homes/california/sacramento/roseville/pavia-at-fiddyment-farm/residence-2410/1683510044
Move-in ready,"$736,104",4.0,3.5,3033.0,"4982 Avdis Court, Antelope, CA",Residence 3033 in Sunstone at Barrett Ranch,https://www.lennar.com/new-homes/california/sacramento/antelope/sunstone-at-barrett-ranch/residence-3033/1656510356
Move-in ready,"$788,877",5.0,3.0,2874.0,"12745 Thorntonhall Drive, Rancho Cordova, CA",Residence 2874 in Ventana,https://www.lennar.com/new-homes/california/sacramento/rancho-cordova/ventana/residence-2874/1639514001
Move-in ready,"$810,760",4.0,3.0,2469.0,"3861 Watermist Way, Sacramento, CA",Residence 2469 in Northlake,https://www.lennar.com/new-homes/california/sacramento/sacramento/northlake/watersyde/residence-2469/2353516001
Move-in ready,"$813,240",3.0,3.5,2993.0,"4660 Trumpet Lily Way, Roseville, CA",Residence 2993 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2993/1663510064
Move-in ready,"$590,355",2.0,2.5,2014.0,"4780 Royal Lily Avenue, Roseville, CA",Residence 2014 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/lazioactiveadult55/residence-2014/1659510140
Move-in ready,"$708,867",2.0,2.5,2405.0,"4690 Trumpet Lily Way, Roseville, CA",Residence 2405 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2405/1663510120
Move-in ready,"$786,378",3.0,2.5,2756.0,"4730 Trumpet Lily Way, Roseville, CA",Residence 2756 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/emiliaactiveadult55/residence-2756/1663510116
Move-in ready,"$590,488",2.0,2.5,2014.0,"4760 Royal Lily Avenue, Roseville, CA",Residence 2014 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/lazioactiveadult55/residence-2014/1659510142
Move-in ready,"$562,990",3.0,3.0,1784.0,"8249 Evans Tree Drive, Roseville, CA",Residence 1784 in Heritage Placer Vineyards | Active Adult,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards--active-adult/moliseactiveadult55/residence-1784/1632510211
