Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$551,000",5.0,3.0,3240.0,"6514 Shaver Drive, Bakersfield, CA",Overture in Fox Meadow - Coronet Series,https://www.lennar.com/new-homes/california/central-california/bakersfield/fox-meadow-coronet-series/overture/10896530002
Move-in ready,"$421,050",4.0,2.0,2269.0,"3719 N Santa Fe Street, Visalia, CA",Moonlight in River Island Ranch,https://www.lennar.com/new-homes/california/central-california/visalia/river-island-ranch/skye-series/moonlight/11215510151
Move-in ready,"$423,800",4.0,2.0,2269.0,"319 E Taylor Avenue, Visalia, CA",Moonlight in River Island Ranch,https://www.lennar.com/new-homes/california/central-california/visalia/river-island-ranch/skye-series/moonlight/11215510113
Move-in ready,"$382,950",3.0,2.0,1787.0,"3701 N Newton Drive, Visalia, CA",Aria in River Island Ranch,https://www.lennar.com/new-homes/california/central-california/visalia/river-island-ranch/coronet-series/aria/11214510081
Move-in ready,"$461,350",4.0,3.5,3128.0,"229 E Tyler Avenue, Visalia, CA",Rhapsody in River Island Ranch,https://www.lennar.com/new-homes/california/central-california/visalia/river-island-ranch/coronet-series/rhapsody/11214510014
Move-in ready,"$498,600",5.0,3.5,2985.0,"7083 W Keats Avenue, Fresno, CA",Persimmon in Anatole,https://www.lennar.com/new-homes/california/central-california/fresno/anatole/clementine-series/persimmon/28593510148
Move-in ready,"$446,320",3.0,2.5,1893.0,"2891 E Teaberry Drive, Fresno, CA",Bronte in The Brambles,https://www.lennar.com/new-homes/california/central-california/fresno/the-brambles/the-wilde-series/bronte/11216510236
Move-in ready,"$406,790",3.0,2.0,1383.0,"482 W Mahogany Lane, Clovis, CA",Oriole in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/oriole/11223510017
Move-in ready,"$508,300",5.0,3.5,2985.0,"7036 W Twain Avenue, Fresno, CA",Persimmon in Anatole,https://www.lennar.com/new-homes/california/central-california/fresno/anatole/clementine-series/persimmon/28593510163
Move-in ready,"$452,550",3.0,3.0,2171.0,"6116 E PLATT AVENUE, Fresno, CA",Sugar Pine in Fancher Creek,https://www.lennar.com/new-homes/california/central-california/fresno/fancher-creek/california-series/sugar-pine/11212520036
Move-in ready,"$593,490",5.0,3.0,3240.0,"2086 N Osmun Avenue, Clovis, CA",Overture in The Ranch at Heritage Grove,https://www.lennar.com/new-homes/california/central-california/clovis/the-ranch-at-heritage-grove/coronet-series-i/overture/11251510045
Move-in ready,"$329,490",2.0,2.0,1383.0,"2863 E Tamarind Drive, Fresno, CA",Wren in The Brambles,https://www.lennar.com/new-homes/california/central-california/fresno/the-brambles/starling-townhomes/wren/11217510072
Move-in ready,"$503,600",4.0,3.5,3128.0,"3408 Cedar Valley Lane, Shafter, CA",Rhapsody in Gossamer Grove,https://www.lennar.com/new-homes/california/central-california/shafter/gossamer-grove/coronet-series/rhapsody/10858510092
Move-in ready,"$391,900",2.0,2.0,1460.0,"7048 W Twain Avenue, Fresno, CA",Plum in Anatole,https://www.lennar.com/new-homes/california/central-california/fresno/anatole/clementine-series/plum/28593510162
Move-in ready,"$416,800",3.0,2.5,1893.0,"2725 E Teaberry Drive, Fresno, CA",Bronte in The Brambles,https://www.lennar.com/new-homes/california/central-california/fresno/the-brambles/the-wilde-series/bronte/11216510189
Move-in ready,"$443,900",4.0,2.5,2169.0,"2727 E Teaberry Drive, Fresno, CA",Hemingway in The Brambles,https://www.lennar.com/new-homes/california/central-california/fresno/the-brambles/the-wilde-series/hemingway/11216510190
Move-in ready,"$454,100",5.0,3.0,2348.0,"6502 Walkers Glen Lane, Bakersfield, CA",Harmony in Fox Meadow - Coronet Series,https://www.lennar.com/new-homes/california/central-california/bakersfield/fox-meadow-coronet-series/harmony/10896540001
Move-in ready,"$378,180",3.0,2.0,1383.0,"424 W Balsam Lane, Clovis, CA",Oriole in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/oriole/11223510042
Move-in ready,"$426,500",3.0,2.5,2019.0,"2713 E Teaberry Drive, Fresno, CA",Kipling in The Brambles,https://www.lennar.com/new-homes/california/central-california/fresno/the-brambles/the-wilde-series/kipling/11216510186
Move-in ready,"$466,130",4.0,2.5,2169.0,"2734 E Teaberry Drive, Fresno, CA",Hemingway in The Brambles,https://www.lennar.com/new-homes/california/central-california/fresno/the-brambles/the-wilde-series/hemingway/11216510159
Move-in ready,"$352,490",2.0,2.0,1383.0,"421 W Mahogany Lane, Clovis, CA",Wren in Veneto Park - Starling Townhomes,https://www.lennar.com/new-homes/california/central-california/clovis/veneto-park-starling-townhomes/wren/11223510040
