Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$1,659,000",4.0,3.0,2493.0,"12610 Stella Lane, San Diego, CA",Residence 1 in Arlo,https://www.lennar.com/new-homes/california/san-diego/san-diego/arlo/residence-1/11034510055
Move-in ready,"$619,900",3.0,2.5,1578.0,"2009 Bluestone Circle, Chula Vista, CA",Residence 2 in Cota Vera,https://www.lennar.com/new-homes/california/san-diego/chula-vista/cota-vera/bluestone/residence-2/11029510079
Move-in ready,"$655,900",3.0,3.5,1858.0,"1226 Sunrise View, #104, San Marcos, CA",Residence 6 in Sunrise,https://www.lennar.com/new-homes/california/san-diego/san-marcos/sunrise/jade/residence-6/11042510084
Move-in ready,"$653,900",4.0,2.5,1758.0,"2048 Bluestone Circle, Chula Vista, CA",Residence 3 in Cota Vera,https://www.lennar.com/new-homes/california/san-diego/chula-vista/cota-vera/bluestone/residence-3/11029510048
Under construction,"$1,868,900",5.0,4.5,3673.0,"17602 Boca Raton Lane, Poway, CA",Residence 1 in The Farm in Poway,https://www.lennar.com/new-homes/california/san-diego/poway/the-farm-in-poway/homestead/residence-1/11048510134
Under construction,"$1,929,900",5.0,4.5,3673.0,"17662 Boca Raton Lane, Poway, CA",Residence 1 in The Farm in Poway,https://www.lennar.com/new-homes/california/san-diego/poway/the-farm-in-poway/homestead/residence-1/11048510137
Under construction,"$1,878,900",5.0,4.5,3673.0,"17622 Boca Raton Lane, Poway, CA",Residence 1 in The Farm in Poway,https://www.lennar.com/new-homes/california/san-diego/poway/the-farm-in-poway/homestead/residence-1/11048510135
Under construction,"$1,782,900",5.0,3.0,3026.0,"8220 Waverly Lane, San Diego, CA",Residence 3 in Arlo,https://www.lennar.com/new-homes/california/san-diego/san-diego/arlo/residence-3/11034510005
Under construction,"$1,164,900",5.0,4.5,3453.0,"702 Westbrook Loop, San Marcos, CA",Residence 3 in Parkside at Mission Circle,https://www.lennar.com/new-homes/california/san-diego/san-marcos/parkside-at-mission-circle/residence-3/11024510021
Future release,SOLD OUT,4.0,4.5,3520.0,N/A,Residence 2X in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/alta/residence-2x
Future release,SOLD OUT,5.0,4.5,3643.0,N/A,Residence 3X in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/alta/residence-3x
Future release,SOLD OUT,4.0,4.5,3157.0,N/A,Residence 1 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/alta/residence-1
Future release,SOLD OUT,4.0,4.5,3341.0,N/A,Residence 2 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/alta/residence-2
Future release,From $1.89M,5.0,4.5,3463.0,N/A,Residence 3 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/alta/residence-3
Future release,"Low $1,200,000s",3.0,3.5,2050.0,N/A,Residence 1 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/citrine/residence-1
Future release,"Mid $1,200,000s",4.0,3.5,2289.0,N/A,Residence 2 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/citrine/residence-2
Future release,"High $1,200,000s",4.0,4.0,2464.0,N/A,Residence 3 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/citrine/residence-3
Future release,"High $1,200,000s",3.0,3.5,2037.0,N/A,Residence 1X in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/citrine/residence-1x
Future release,"Mid $1,200,000s",4.0,3.5,2291.0,N/A,Residence 2X in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/citrine/residence-2x
Future release,"Mid $1,200,000s",4.0,4.0,2464.0,N/A,Residence 3X in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/citrine/residence-3x
Future release,"Low $1,300,000s",4.0,3.5,2316.0,N/A,Residence 4 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/citrine/residence-4
Future release,"Low $1,300,000s",4.0,4.0,2460.0,N/A,Residence 5 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/citrine/residence-5
Future release,SOLD OUT,2.0,2.0,1645.0,N/A,Residence 1 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/hudson/residence-1
Future release,SOLD OUT,3.0,2.0,1632.0,N/A,Residence 2 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/hudson/residence-2
Future release,SOLD OUT,3.0,3.0,1893.0,N/A,Residence 3 in 3 Roots,https://www.lennar.com/new-homes/california/san-diego/san-diego/3-roots/hudson/residence-3
