Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$495,000",3.0,2.5,2148.0,"17577 E 95th Place, Commerce City, CO",Meridian in Buffalo Highlands,https://www.lennar.com/new-homes/colorado/denver/commerce-city/buffalo-highlands/paired-homes/meridian/12321603058
Move-in ready,"$675,000",3.0,2.0,1972.0,"8128 Sewanee Peak Street, Littleton, CO",Graham in Sterling Ranch,https://www.lennar.com/new-homes/colorado/denver/littleton/sterling-ranch/monarch-collection-prospect-village-ii/graham/12223603118
Move-in ready,"$575,000",2.0,2.0,1445.0,"1987 S Vance Lane, Lakewood, CO",Plan 505 in Green Gables Townhomes,https://www.lennar.com/new-homes/colorado/denver/lakewood/green-gables-townhomes/the-lakeside-collection/plan-505/12233604076
Move-in ready,"$575,000",3.0,2.5,2010.0,"9011 Tower Hills Lane, Parker, CO",Ascent in Dove Village,https://www.lennar.com/new-homes/colorado/denver/parker/dove-village/paired-homes/ascent/12115607064
Move-in ready,"$600,000",3.0,2.0,1974.0,"16970 Desert Wine Trail, Parker, CO",Graham in Looking Glass,https://www.lennar.com/new-homes/colorado/denver/parker/looking-glass/the-monarch-collection/graham/12340606034
Move-in ready,"$510,000",4.0,2.5,2377.0,"689 Harvard Street, Johnstown, CO",Pinnacle in Johnstown Farms,https://www.lennar.com/new-homes/colorado/denver/johnstown/johnstown-farms/the-pioneer-collection/pinnacle/12423603214
Move-in ready,"$600,000",3.0,2.0,1749.0,"8661 S Riviera Court, Aurora, CO",Oxford in Inspiration,https://www.lennar.com/new-homes/colorado/denver/aurora/inspiration/the-masters-collection/oxford/1204660s528
Move-in ready,"$500,000",3.0,2.0,1366.0,"39180 Braxton Lane, Elizabeth, CO",Snowmass in Independence,https://www.lennar.com/new-homes/colorado/denver/elizabeth/independence/the-pioneer-collection/snowmass/12220602105
Move-in ready,"$524,000",3.0,2.5,1880.0,"2578 Painted Turtle Avenue, Loveland, CO",Columbia in Kinston,https://www.lennar.com/new-homes/colorado/denver/loveland/kinston/the-pioneer-collection/columbia/12315601004
Move-in ready,"$525,000",3.0,2.5,2148.0,"17549 E 95th Place, Commerce City, CO",Meridian in Buffalo Highlands,https://www.lennar.com/new-homes/colorado/denver/commerce-city/buffalo-highlands/paired-homes/meridian/12321603053
Move-in ready,"$575,000",4.0,2.5,2377.0,"1011 W Witherspoon Drive, Elizabeth, CO",Pinnacle in Independence,https://www.lennar.com/new-homes/colorado/denver/elizabeth/independence/the-pioneer-collection/pinnacle/12220600405
Move-in ready,"$450,000",3.0,2.5,1825.0,"17489 E 95th Place, Commerce City, CO",Spire in Buffalo Highlands,https://www.lennar.com/new-homes/colorado/denver/commerce-city/buffalo-highlands/paired-homes/spire/12321603047
Move-in ready,"$475,000",3.0,3.5,1642.0,"2617 Silverheels Drive, Loveland, CO",Flatiron in Kinston,https://www.lennar.com/new-homes/colorado/denver/loveland/kinston/the-ridgeline-collection/flatiron/12316601103
Move-in ready,"$565,000",3.0,2.5,2010.0,"17856 Gallup Street, Broomfield, CO",Ascent in Palisade Park West,https://www.lennar.com/new-homes/colorado/denver/broomfield/palisade-park-west/paired-homes/ascent/12245600911
Move-in ready,"$750,000",3.0,2.0,1887.0,"15652 Valentia Street, Thornton, CO",Hamilton in Heritage Todd Creek,https://www.lennar.com/new-homes/colorado/denver/thornton/heritage-todd-creek/the-heritage-collection/hamilton/12109610aa2
Move-in ready,"$925,000",5.0,4.5,3882.0,"14601 Hudson Street, Thornton, CO",SuperHome in Willow Bend,https://www.lennar.com/new-homes/colorado/denver/thornton/willow-bend/the-grand-collection/superhome/12039612811
Move-in ready,"$514,384",3.0,2.5,2141.0,"5297 Inland Avenue, Firestone, CO",Evans in Barefoot Lakes,https://www.lennar.com/new-homes/colorado/denver/firestone/barefoot-lakes/the-pioneer-collection/evans/12363615104
Move-in ready,"$600,000",3.0,2.5,1845.0,"8153 MT Lincoln Road, Littleton, CO",Tabor in Sterling Ranch,https://www.lennar.com/new-homes/colorado/denver/littleton/sterling-ranch/pioneer-collection-prospect-village-ii/tabor/12222603165
Move-in ready,"$540,000",3.0,2.5,1880.0,"2558 Painted Turtle Avenue, Loveland, CO",Columbia in Kinston,https://www.lennar.com/new-homes/colorado/denver/loveland/kinston/the-pioneer-collection/columbia/12315601007
Move-in ready,"$650,000",5.0,4.0,2765.0,"13153 E 100th Place, Commerce City, CO",Stonehaven in Reunion Ridge,https://www.lennar.com/new-homes/colorado/denver/commerce-city/reunion-ridge/the-monarch-collection/stonehaven/12324601704
Move-in ready,"$500,000",3.0,3.5,1642.0,"2673 Silverheels Drive, Loveland, CO",Flatiron in Kinston,https://www.lennar.com/new-homes/colorado/denver/loveland/kinston/the-ridgeline-collection/flatiron/12316601110
Move-in ready,"$465,500",3.0,2.5,1700.0,"6270 Wild Rye Street, Loveland, CO",Harvard in Kinston,https://www.lennar.com/new-homes/colorado/denver/loveland/kinston/the-ridgeline-collection/harvard/12316601116
Move-in ready,"$621,900",3.0,2.5,2133.0,"9003 Tower Hills Lane, Parker, CO",Meridian in Dove Village,https://www.lennar.com/new-homes/colorado/denver/parker/dove-village/paired-homes/meridian/12115607065
Move-in ready,"$575,000",4.0,2.5,2138.0,"968 W Witherspoon Drive, Elizabeth, CO",Evans in Independence,https://www.lennar.com/new-homes/colorado/denver/elizabeth/independence/the-pioneer-collection/evans/12220602703
Move-in ready,"$675,000",3.0,2.0,1974.0,"16838 Desert Wine Trail, Parker, CO",Graham in Looking Glass,https://www.lennar.com/new-homes/colorado/denver/parker/looking-glass/the-monarch-collection/graham/12340606026
Move-in ready,"$575,000",3.0,2.5,1808.0,"9019 Tower Hills Lane, Parker, CO",Spire in Dove Village,https://www.lennar.com/new-homes/colorado/denver/parker/dove-village/paired-homes/spire/12115607063
Move-in ready,"$825,000",5.0,4.5,4018.0,"17031 Desert Wine Trail, Parker, CO",SuperHome in Looking Glass,https://www.lennar.com/new-homes/colorado/denver/parker/looking-glass/the-grand-collection/superhome/12341606100
Move-in ready,"$625,000",3.0,2.0,1851.0,"8165 Mount Kataka Street, Littleton, CO",Abbot in Sterling Ranch,https://www.lennar.com/new-homes/colorado/denver/littleton/sterling-ranch/monarch-collection-prospect-village-ii/abbot/12223603099
Move-in ready,"$600,000",3.0,2.5,2133.0,"9010 Tower Hills Lane, Parker, CO",Meridian in Dove Village,https://www.lennar.com/new-homes/colorado/denver/parker/dove-village/paired-homes/meridian/12115607069
Move-in ready,"$550,000",3.0,2.5,1787.0,"8984 Larose Court, Parker, CO",Plateau in Dove Village,https://www.lennar.com/new-homes/colorado/denver/parker/dove-village/paired-homes/plateau/12115607016
Move-in ready,"$600,000",4.0,2.5,2138.0,"1008 W Witherspoon Drive, Elizabeth, CO",Evans in Independence,https://www.lennar.com/new-homes/colorado/denver/elizabeth/independence/the-pioneer-collection/evans/12220602604
Move-in ready,"$460,000",3.0,3.5,1642.0,"2631 Silverheels Drive, Loveland, CO",Flatiron in Kinston,https://www.lennar.com/new-homes/colorado/denver/loveland/kinston/the-ridgeline-collection/flatiron/12316601105
Move-in ready,"$750,000",4.0,3.5,2612.0,"16793 Desert Wine Trail, Parker, CO",Chelton in Looking Glass,https://www.lennar.com/new-homes/colorado/denver/parker/looking-glass/the-monarch-collection/chelton/12340606125
Move-in ready,"$460,000",3.0,2.5,1504.0,"2645 Silverheels Drive, Loveland, CO",Crest in Kinston,https://www.lennar.com/new-homes/colorado/denver/loveland/kinston/the-ridgeline-collection/crest/12316601106
Move-in ready,"$462,260",3.0,2.5,2026.0,"17399 E 95th Place, Commerce City, CO",Ascent in Buffalo Highlands,https://www.lennar.com/new-homes/colorado/denver/commerce-city/buffalo-highlands/paired-homes/ascent/12321603035
Move-in ready,"$475,000",3.0,2.5,1813.0,"4947 Talbot Place, Brighton, CO",Tabor in Brighton Crossings,https://www.lennar.com/new-homes/colorado/denver/brighton/brighton-crossings/the-pioneer-collection/tabor/12330611609
Move-in ready,"$560,000",4.0,2.5,2380.0,"5274 Inland Avenue, Firestone, CO",Pinnacle in Barefoot Lakes,https://www.lennar.com/new-homes/colorado/denver/firestone/barefoot-lakes/the-pioneer-collection/pinnacle/12363615340
Move-in ready,"$575,000",3.0,2.5,1808.0,"8969 Woodmere Court, Parker, CO",Spire in Dove Village,https://www.lennar.com/new-homes/colorado/denver/parker/dove-village/paired-homes/spire/12115607019
Move-in ready,"$650,000",4.0,3.5,2578.0,"24507 E Ada Avenue, Aurora, CO",Ashbrook in Waterstone,https://www.lennar.com/new-homes/colorado/denver/aurora/waterstone/the-monarch-collection/ashbrook/12093613912
Move-in ready,"$750,000",4.0,3.5,2612.0,"14650 Hudson Street, Thornton, CO",Chelton in Willow Bend,https://www.lennar.com/new-homes/colorado/denver/thornton/willow-bend/the-monarch-collection/chelton/12038612920
Move-in ready,"$600,000",4.0,2.5,2377.0,"935 W Witherspoon Drive, Elizabeth, CO",Pinnacle in Independence,https://www.lennar.com/new-homes/colorado/denver/elizabeth/independence/the-pioneer-collection/pinnacle/12220600410
Move-in ready,"$410,000",2.0,2.5,1266.0,"5387 Euclid Drive, Timnath, CO",Plan 302 in Timnath Lakes,https://www.lennar.com/new-homes/colorado/denver/timnath/timnath-lakes/parkside-collection/plan-302/12325606406
Move-in ready,"$775,000",4.0,3.0,2528.0,"8690 S Riviera Court, Aurora, CO",Redford in Inspiration,https://www.lennar.com/new-homes/colorado/denver/aurora/inspiration/the-heritage-collection/redford/1204760s619
Move-in ready,"$650,000",3.0,2.5,1845.0,"8121 MT Lincoln Road, Littleton, CO",Tabor in Sterling Ranch,https://www.lennar.com/new-homes/colorado/denver/littleton/sterling-ranch/pioneer-collection-prospect-village-ii/tabor/12222603168
Move-in ready,"$370,000",2.0,2.0,1099.0,"5391 Euclid Drive, Timnath, CO",Plan 301 in Timnath Lakes,https://www.lennar.com/new-homes/colorado/denver/timnath/timnath-lakes/parkside-collection/plan-301/12325606407
Move-in ready,"$600,000",3.0,2.0,1974.0,"24517 E Ada Avenue, Aurora, CO",Graham in Waterstone,https://www.lennar.com/new-homes/colorado/denver/aurora/waterstone/the-monarch-collection/graham/12093613911
Move-in ready,"$622,000",4.0,2.5,2377.0,"39251 Hopkins Circle, Elizabeth, CO",Pinnacle in Independence,https://www.lennar.com/new-homes/colorado/denver/elizabeth/independence/the-pioneer-collection/pinnacle/12220600416
Move-in ready,"$525,000",4.0,2.5,2138.0,"707 Harvard Street, Johnstown, CO",Evans in Johnstown Farms,https://www.lennar.com/new-homes/colorado/denver/johnstown/johnstown-farms/the-pioneer-collection/evans/12423603216
Move-in ready,"$600,000",3.0,2.0,1974.0,"24536 E Ohio Drive, Aurora, CO",Graham in Waterstone,https://www.lennar.com/new-homes/colorado/denver/aurora/waterstone/the-monarch-collection/graham/12093613907
Under construction,"$575,000",4.0,2.5,2140.0,"24585 E Ohio Drive, Aurora, CO",Evans in Waterstone,https://www.lennar.com/new-homes/colorado/denver/aurora/waterstone/the-pioneer-collection/evans/12092613816
Under construction,"$790,000",3.0,2.0,2387.0,"15805 Willow Street, Thornton, CO",Newman in Heritage Todd Creek,https://www.lennar.com/new-homes/colorado/denver/thornton/heritage-todd-creek/the-heritage-collection/newman/1210961b3e4
Under construction,"$630,000",4.0,3.5,2575.0,"667 Columbia Street, Johnstown, CO",Ashbrook in Johnstown Farms,https://www.lennar.com/new-homes/colorado/denver/johnstown/johnstown-farms/the-monarch-collection/ashbrook/12424603403
Under construction,"$540,000",3.0,2.5,1813.0,"2487 Cabin Creek Avenue, Loveland, CO",Tabor in Kinston,https://www.lennar.com/new-homes/colorado/denver/loveland/kinston/the-pioneer-collection/tabor/12315601023
