Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$494,900",3.0,3.0,2321.0,"100 Lilac Court, Coatesville, PA",Napa LUXE in Meadows at Hillview | Active Adult 55+,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/napa-luxe/23622600049
Move-in ready,"$439,315",3.0,2.0,1878.0,"106 Lilac Court, Coatesville, PA",Sonoma in Meadows at Hillview | Active Adult 55+,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/sonoma/23622600046
Move-in ready,"$419,000",2.0,2.0,2153.0,"126B Gaslight Alley, Bensalem, PA",Delaware in Waterside By Lennar,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-contemporary-towns/delaware/2393560l622
Move-in ready,"$418,980",2.0,2.0,1728.0,"108 Lilac Court, Coatesville, PA",Solano in Meadows at Hillview | Active Adult 55+,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/solano/23622600045
Move-in ready,"$469,095",3.0,3.0,2321.0,"110 Lilac Court, Coatesville, PA",Napa LUXE in Meadows at Hillview | Active Adult 55+,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coatesville/meadowsathillviewactiveadult55/napa-luxe/23622600044
Move-in ready,"$419,138",3.0,3.0,2153.0,"124B Gaslight Alley, Bensalem, PA",Delaware in Waterside By Lennar,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-contemporary-towns/delaware/2393560l632
Move-in ready,"$839,963",4.0,3.5,3651.0,"5650 Saucon Ridge Road, Coopersburg, PA",Aurora in Blue Ridge Estates,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/coopersburg/blue-ridge-estates/aurora/17933600012
Move-in ready,"$674,700",4.0,2.5,2662.0,"5 Ladbroke Drive, Exton, PA",Asher in Exton Grove,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/exton/exton-grove/asher/23637600055
Move-in ready,"$421,268",3.0,3.0,2153.0,"119B Gaslight Alley, Bensalem, PA",Delaware in Waterside By Lennar,https://www.lennar.com/new-homes/pennsylvania/greater-philadelphia-area/bensalem/waterside-by-lennar/waterside-contemporary-towns/delaware/2393560l512
Move-in ready,"$544,330",3.0,2.0,1878.0,"637 MAYFIELD FALLS DR, Newark, DE",Sonoma in The Cascades | Active Adult 55+,https://www.lennar.com/new-homes/delaware/greater-philadelphia-area/newark/thecascadesactiveadult55/sonoma/23626600018
