Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$299,990",3.0,2.5,2371.0,"35296 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641384
Move-in ready,"$294,990",3.0,2.5,2371.0,"35292 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641386
Move-in ready,"$389,990",3.0,2.5,2430.0,"33245 Claremont Court, Millsboro, DE",Monterey Slab in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-cottage-collection/monterey-slab/23012641481
Move-in ready,"$499,990",3.0,2.0,1596.0,"29328 BAKER ISLAND RD, Lewes, DE",Savannah Slab in Acadia Landing,https://www.lennar.com/new-homes/delaware/sussex-county/lewes/acadia-landing/savannah-slab/23024650078
Move-in ready,"$294,990",3.0,2.5,2371.0,"35316 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641376
Move-in ready,"$309,990",3.0,2.5,2371.0,"35314 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641377
Move-in ready,"$288,290",3.0,2.5,2371.0,"35290 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641387
Move-in ready,"$289,990",3.0,2.5,2371.0,"35288 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641388
Move-in ready,"$304,990",3.0,2.5,2371.0,"35286 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641389
Move-in ready,"$289,990",3.0,2.5,2371.0,"35312 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641378
Move-in ready,"$314,990",3.0,2.5,2371.0,"35310 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641379
Move-in ready,"$289,990",3.0,2.5,2371.0,"35308 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641380
Move-in ready,"$309,990",3.0,2.5,2371.0,"35306 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641381
Under construction,"$474,990",3.0,2.0,1814.0,"29324 BAKER ISLAND RD, Lewes, DE",Canton Slab in Acadia Landing,https://www.lennar.com/new-homes/delaware/sussex-county/lewes/acadia-landing/canton-slab/23024650079
Under construction,"$399,990",3.0,2.5,2401.0,"33246 Claremont Court, Millsboro, DE",Jessup Slab in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-cottage-collection/jessup-slab/23012641494
Under construction,"$529,990",4.0,3.0,2862.0,"34257 Richmond Rd, Millsboro, DE",Dorchester in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-signature-collection/dorchester/23010641612
Under construction,"$324,990",3.0,2.5,2371.0,"35324 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641374
Under construction,"$599,990",3.0,2.5,2218.0,"29320 BAKER ISLAND RD, Lewes, DE",Dover Slab in Acadia Landing,https://www.lennar.com/new-homes/delaware/sussex-county/lewes/acadia-landing/dover-slab/23024650080
Under construction,"$349,990",3.0,2.5,2371.0,"35358 Wright Way, Millsboro, DE",Ellicott Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/ellicott-front-load-garage/23013641361
Under construction,"$349,990",3.0,2.5,2480.0,"37214 FAYETTEVILLE CT, Millsboro, DE",Jennings in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-villa-collection/jennings/23011641635
Under construction,"$324,990",3.0,2.5,2480.0,"37212 FAYETTEVILLE CT, Millsboro, DE",Jennings in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-villa-collection/jennings/23011641636
Under construction,"$324,990",3.0,2.5,2480.0,"37210 FAYETTEVILLE CT, Millsboro, DE",Jennings in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-villa-collection/jennings/23011641637
Under construction,"$349,990",3.0,2.5,2050.0,"37208 FAYETTEVILLE CT, Millsboro, DE",Laguna in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-villa-collection/laguna/23011641638
Under construction,"$279,990",2.0,2.0,1837.0,"35345 Wright Way, Millsboro, DE",Baylor Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/baylor-front-load-garage/23013641267
Under construction,"$284,990",2.0,2.0,1837.0,"35349 Wright Way, Millsboro, DE",Baylor Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/baylor-front-load-garage/23013641269
Under construction,"$294,990",2.0,2.0,1837.0,"35353 Wright Way, Millsboro, DE",Baylor Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/baylor-front-load-garage/23013641271
Under construction,"$294,990",2.0,2.0,1837.0,"35357 Wright Way, Millsboro, DE",Baylor Front Load Garage in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-townhomes/baylor-front-load-garage/23013641272
Under construction,"$359,990",3.0,2.5,2050.0,"34354 BEAUFORT CT, Millsboro, DE",Laguna in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-villa-collection/laguna/23011641665
Under construction,"$389,990",3.0,2.5,2480.0,"34352 BEAUFORT CT, Millsboro, DE",Jennings in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-villa-collection/jennings/23011641666
Under construction,"$369,990",3.0,2.5,2480.0,"34350 BEAUFORT CT, Millsboro, DE",Jennings in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-villa-collection/jennings/23011641667
Under construction,"$404,990",3.0,2.5,2050.0,"34344 BEAUFORT CT, Millsboro, DE",Laguna in Plantation Lakes,https://www.lennar.com/new-homes/delaware/sussex-county/millsboro/plantation-lakes/north-shore-villa-collection/laguna/23011641668
