Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$1,429,890",5.0,5.5,4328.0,"12595 N Parkland Bay Tr, Parkland, FL",Willow in Parkland Bay,https://www.lennar.com/new-homes/florida/ft-lauderdale/parkland/parkland-bay/estates-collection/willow/7716600363
Move-in ready,"$887,265",4.0,3.0,2676.0,"4595 SW 174 AVE, Miramar, FL",Costa in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/costa/6091600345
Move-in ready,"$1,214,940",4.0,3.5,2731.0,"12790 Bayside Ct, Parkland, FL",Hibiscus in Parkland Bay,https://www.lennar.com/new-homes/florida/ft-lauderdale/parkland/parkland-bay/estates-collection/hibiscus/7716600381
Move-in ready,"$2,105,240",5.0,6.0,4296.0,"11155 N SIERRA RANCH DR, Davie, FL",Magnolia in Sierra Ranches,https://www.lennar.com/new-homes/florida/ft-lauderdale/davie/sierra-ranches/magnolia/610160o002
Move-in ready,"$2,077,290",5.0,6.5,4529.0,"11095 N SIERRA RANCH DR, Davie, FL",Savannah in Sierra Ranches,https://www.lennar.com/new-homes/florida/ft-lauderdale/davie/sierra-ranches/savannah/610160o004
Move-in ready,"$2,089,190",5.0,5.0,4116.0,"1981 W SIERRA RANCH DR, Davie, FL",Dawson in Sierra Ranches,https://www.lennar.com/new-homes/florida/ft-lauderdale/davie/sierra-ranches/dawson/610160o047
Move-in ready,"$893,040",3.0,2.5,2031.0,"4149 SW 173 AVE, Miramar, FL",Alameda in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/alameda/6091600221
Under construction,"$924,240",4.0,3.0,2372.0,"4307 SW 173 AVE, Miramar, FL",Colonia in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/colonia/6091600213
Under construction,"$951,190",4.0,3.0,2676.0,"4295 SW 173 AVE, Miramar, FL",Costa in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/costa/6091600214
Under construction,"$1,000,840",5.0,4.5,3358.0,"4273 SW 173 AVE, Miramar, FL",Marquez in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/marquez/6091600215
Under construction,"$2,207,715",5.0,6.0,5122.0,"1941 W SIERRA RANCH DR, Davie, FL",Violet in Sierra Ranches,https://www.lennar.com/new-homes/florida/ft-lauderdale/davie/sierra-ranches/violet/610160o048
Under construction,"$963,790",4.0,3.0,2372.0,"4480 SW 173 AVE, Miramar, FL",Colonia in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/colonia/6091600335
Under construction,"$879,940",3.0,2.5,2031.0,"4321 SW 173 AVE, Miramar, FL",Alameda in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/alameda/6091600212
Under construction,"$1,057,940",4.0,4.0,3629.0,"4498 SW 173 AVE, Miramar, FL",Santa Margarita in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/santa-margarita/6091600336
Under construction,"$569,990",3.0,2.5,1594.0,"4666 NW 120 WAY, Coral Springs, FL",Daphne in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/daphne/6110601782
Under construction,"$1,009,790",5.0,4.5,3612.0,"17552 SW 46 ST, Miramar, FL",Plaza in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/plaza/6091600161
Under construction,"$959,990",4.0,4.0,2861.0,"17558 SW 46 ST, Miramar, FL",Fontana in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/fontana/6091600160
Coming soon,High $900K,4.0,4.0,3629.0,"17528 SW 46 ST, Miramar, FL",Santa Margarita in Marbella,https://www.lennar.com/new-homes/florida/ft-lauderdale/miramar/marbella/santa-margarita/6091600165
Coming soon,High $500K,3.0,2.5,1697.0,"260 SW 159 WAY, Pembroke Pines, FL",Dijon in Sunset Pines,https://www.lennar.com/new-homes/florida/ft-lauderdale/pembroke-pines/sunset-pines/dijon/6107601603
Coming soon,Mid $600K,4.0,2.5,1828.0,"201 SW 159 WAY, Pembroke Pines, FL",Marsielle in Sunset Pines,https://www.lennar.com/new-homes/florida/ft-lauderdale/pembroke-pines/sunset-pines/marsielle/6107601309
Coming soon,Low $600K,3.0,2.5,1828.0,"208 SW 2 PL, Pembroke Pines, FL",Lorient in Sunset Pines,https://www.lennar.com/new-homes/florida/ft-lauderdale/pembroke-pines/sunset-pines/lorient/6107601503
Coming soon,Low $600K,3.0,2.5,1828.0,"251 SW 159 PL, Pembroke Pines, FL",Lorient in Sunset Pines,https://www.lennar.com/new-homes/florida/ft-lauderdale/pembroke-pines/sunset-pines/lorient/6107601705
Coming soon,High $500K,3.0,2.5,1443.0,"15947 SW 2 ST, Pembroke Pines, FL",Bordeaux in Sunset Pines,https://www.lennar.com/new-homes/florida/ft-lauderdale/pembroke-pines/sunset-pines/bordeaux/6107601402
Coming soon,High $500K,3.0,2.5,1443.0,"254 SW 159 LN, Pembroke Pines, FL",Bordeaux in Sunset Pines,https://www.lennar.com/new-homes/florida/ft-lauderdale/pembroke-pines/sunset-pines/bordeaux/6107602205
Coming soon,High $500K,3.0,3.0,1961.0,"12011 NW 47 MNR, Coral Springs, FL",Rose in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/rose/6110600101
Coming soon,Mid $500K,3.0,2.5,1594.0,"12007 NW 47 MNR, Coral Springs, FL",Daphne in Sunset Trails,https://www.lennar.com/new-homes/florida/ft-lauderdale/coral-springs/sunset-trails/daphne/6110600103
Future release,From $1.56M,3.0,3.5,3231.0,N/A,Catamaran in Parkland Bay,https://www.lennar.com/new-homes/florida/ft-lauderdale/parkland/parkland-bay/classic-collection/catamaran
Future release,From $1.62M,4.0,3.5,4083.0,N/A,Mainsail in Parkland Bay,https://www.lennar.com/new-homes/florida/ft-lauderdale/parkland/parkland-bay/classic-collection/mainsail
Future release,From $1.71M,5.0,5.5,5030.0,N/A,Regatta in Parkland Bay,https://www.lennar.com/new-homes/florida/ft-lauderdale/parkland/parkland-bay/classic-collection/regatta
Future release,From $1.73M,5.0,5.0,5373.0,N/A,Voyager in Parkland Bay,https://www.lennar.com/new-homes/florida/ft-lauderdale/parkland/parkland-bay/classic-collection/voyager
Future release,From $1.79M,4.0,4.5,5913.0,N/A,Windward in Parkland Bay,https://www.lennar.com/new-homes/florida/ft-lauderdale/parkland/parkland-bay/classic-collection/windward
Future release,From $1.08M,3.0,3.5,2677.0,N/A,Cottonwood in Parkland Bay,https://www.lennar.com/new-homes/florida/ft-lauderdale/parkland/parkland-bay/estates-collection/cottonwood
