Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$489,475",2.0,2.0,1544.0,"700 Stillwater Blvd, St. Johns, FL",ELAN in Stillwater,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwater/stillwater50sroyalcollection/elan/7886610086
Move-in ready,"$360,485",2.0,2.5,1611.0,"344 Boracay Circle, St. Johns, FL",Islamorada in Beachwalk,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/beachwalk/grand-isles/islamorada/7827610072
Move-in ready,"$360,485",2.0,2.5,1611.0,"356 Boracay Circle, St. Johns, FL",Islamorada in Beachwalk,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/beachwalk/grand-isles/islamorada/7827610075
Move-in ready,"$536,975",4.0,2.5,2295.0,"710 Stillwater Blvd, St. Johns, FL",Sierra in Stillwater,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwater/stillwater50sroyalcollection/sierra/7886610087
Move-in ready,"$434,385",4.0,3.0,2657.0,"2750 Pointed Leaf Rd, Green Cove Springs, FL",MEDALLION in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-60s/medallion/7857610011
Move-in ready,"$521,975",3.0,2.0,2124.0,"828 Stillwater Blvd, St. Johns, FL",CHARLE in Stillwater,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwater/stillwater50sroyalcollection/charle/7886610098
Move-in ready,"$566,975",4.0,3.5,2270.0,"738 Stillwater Blvd, St. Johns, FL",INDEPENDENCE in Stillwater,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwater/stillwater50sroyalcollection/independence/7886610090
Move-in ready,"$569,475",4.0,3.5,2270.0,"836 Stillwater Blvd, St. Johns, FL",INDEPENDENCE in Stillwater,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwater/stillwater50sroyalcollection/independence/7886610099
Move-in ready,"$437,885",4.0,3.0,2657.0,"2773 Crossfield Drive, Green Cove Springs, FL",MEDALLION in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-60s/medallion/7857610205
Move-in ready,"$569,475",4.0,3.5,2270.0,"674 Stillwater Blvd, St. Johns, FL",INDEPENDENCE in Stillwater,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwater/stillwater50sroyalcollection/independence/7886610083
Move-in ready,"$344,885",3.0,2.0,1712.0,"2904 Crossfield Drive, Green Cove Springs, FL",HALLE in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-50s/halle/7856610074
Move-in ready,"$431,885",4.0,3.0,2657.0,"2764 Crossfield Drive, Green Cove Springs, FL",MEDALLION in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-60s/medallion/7857610019
Move-in ready,"$431,885",4.0,3.0,2657.0,"2865 Brambleton Pl, Green Cove Springs, FL",MEDALLION in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-60s/medallion/7857610027
Move-in ready,"$444,880",4.0,3.0,2657.0,"2724 White Cedar Ln, Green Cove Springs, FL",MEDALLION in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-60s/medallion/7857610023
Move-in ready,"$402,880",3.0,2.0,2268.0,"2861 Brambleton Pl, Green Cove Springs, FL",PRINCETON in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-60s/princeton/7857610028
Move-in ready,"$395,885",4.0,3.0,2267.0,"2730 White Cedar Ln, Green Cove Springs, FL",TIVOLI in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-60s/tivoli/7857610024
Move-in ready,"$543,480",4.0,2.5,2358.0,"60 Varner Way, St Augustine, FL",BRIO in SilverLeaf,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-augustine/silverleaf/silver-landing-53s/brio/7842610452
Move-in ready,"$381,880",3.0,2.0,2124.0,"75468 PONDSIDE LN, Yulee, FL",CHARLE in Tributary,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/yulee/tributary/lakeview-at-tributary-50s/charle/7846610357
Move-in ready,"$421,085",3.0,2.0,2268.0,"75160 PONDSIDE LN, Yulee, FL",PRINCETON in Tributary,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/yulee/tributary/lakeview-at-tributary-60s/princeton/7847610303
Move-in ready,"$424,485",4.0,3.0,2267.0,"75149 PONDSIDE LN, Yulee, FL",TIVOLI in Tributary,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/yulee/tributary/lakeview-at-tributary-60s/tivoli/7847610310
Move-in ready,"$422,980",4.0,3.0,2267.0,"85225 Sagamore Ct, Fernandina Beach, FL",Tivoli in Amelia Walk,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/fernandina-beach/amelia-walk/tivoli/7825615029
Move-in ready,"$360,485",2.0,2.5,1611.0,"374 Boracay Circle, St. Johns, FL",Islamorada in Beachwalk,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/beachwalk/grand-isles/islamorada/7827610078
Move-in ready,"$440,385",4.0,3.0,2657.0,"2715 Crossfield Drive, Green Cove Springs, FL",MEDALLION in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-60s/medallion/7857610213
Move-in ready,"$477,975",2.0,2.0,1544.0,"627 Stillwater Blvd, St. Johns, FL",ELAN in Stillwater,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-johns/stillwater/stillwater50sroyalcollection/elan/7886610118
Move-in ready,"$581,975",4.0,3.0,2267.0,"364 Clearview Drive, St Augustine, FL",TIVOLI in SilverLeaf,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-augustine/silverleaf/silver-landing-63s/tivoli/7843610448
Move-in ready,"$575,225",3.0,2.0,2268.0,"342 Clearview Drive, St Augustine, FL",PRINCETON in SilverLeaf,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-augustine/silverleaf/silver-landing-63s/princeton/7843610446
Move-in ready,"$353,885",3.0,2.5,1950.0,"2650 Hanberry Ln, Green Cove Springs, FL",HAILEY in Granary Park,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/greencove-springs/granary-park/granary-park-40s/hailey/7855610104
Move-in ready,"$670,975",4.0,3.0,2957.0,"313 Country Fern Drive, St Augustine, FL",LEEWARD in SilverLeaf,https://www.lennar.com/new-homes/florida/jacksonville-st-augustine/st-augustine/silverleaf/silver-landing-63s/leeward/7843610662
