Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$407,490",3.0,2.0,1844.0,"3904 SE 4th Avenue, Ocala, FL",Aspen in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/aspen/2420375v019
Move-in ready,"$449,490",3.0,3.0,2156.0,"3856 SE 4th Avenue, Ocala, FL",Brindley in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/brindley/2420375v021
Move-in ready,"$419,490",3.0,2.0,1844.0,"3980 SE 4th Terrace, Ocala, FL",Aspen in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/aspen/2420375v069
Move-in ready,"$324,975",2.0,2.0,1544.0,"7527 SW 78th Ter, Ocala, FL",ELAN in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/elan/24208710134
Move-in ready,"$310,975",2.0,2.0,1544.0,"7643 SW 74th Loop, Ocala, FL",ELAN in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/elan/24208710003
Move-in ready,"$352,980",3.0,2.0,2124.0,"9305 SW 58th Cir, Ocala, FL",CHARLE in Freedom Crossings Preserve,https://www.lennar.com/new-homes/florida/ocala/ocala/freedom-crossings-preserve/phase-one/charle/24206760067
Under construction,"$457,490",4.0,3.0,2084.0,"3905 SE 4th Terrace, Ocala, FL",Augusta in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/augusta/2420375v066
Under construction,"$417,490",3.0,2.0,1844.0,"3939 SE 4th Avenue, Ocala, FL",Aspen in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/aspen/2420375v079
Under construction,"$447,490",3.0,3.0,2156.0,"3883 SE 4th Avenue, Ocala, FL",Brindley in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/brindley/2420375v077
Under construction,"$357,475",3.0,3.0,2028.0,"7862 SW 74th Loop, Ocala, FL",TREVI in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/trevi/24208710129
Under construction,"$352,475",3.0,3.0,2028.0,"7655 SW 74th Loop, Ocala, FL",TREVI in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/trevi/24208710006
Under construction,"$336,980",3.0,3.0,2028.0,"7660 SW 74th Loop, Ocala, FL",TREVI in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/trevi/24208710079
Under construction,"$354,975",3.0,3.0,2028.0,"7509 SW 78th Ter, Ocala, FL",TREVI in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/trevi/24208710135
Under construction,"$342,475",3.0,2.0,1712.0,"7667 SW 74th Loop, Ocala, FL",HALLE in Liberty Village,https://www.lennar.com/new-homes/florida/ocala/ocala/liberty-village/liberty-village-phase-one/halle/24208710009
Under construction,"$469,975",3.0,2.0,2268.0,"4310 SE 11th Ave, Ocala, FL",Princeton in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/princeton/2420375oh02
Under construction,"$499,380",4.0,3.0,2657.0,"4226 SE 11th Avenue, Ocala, FL",Medallion in Bellechase,https://www.lennar.com/new-homes/florida/ocala/ocala/bellechase/medallion/2420375oh03
