Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$429,999",4.0,2.5,2334.0,"2902 CAMDEN WAY, Davenport, FL",Sheffield in Providence Camden Park,https://www.lennar.com/new-homes/florida/orlando/davenport/providence-camden-park/sheffield/11115720030
Move-in ready,"$458,040",4.0,2.5,2334.0,"2950 CAMDEN WAY, Davenport, FL",Sheffield in Providence Camden Park,https://www.lennar.com/new-homes/florida/orlando/davenport/providence-camden-park/sheffield/11115720040
Move-in ready,"$370,315",5.0,2.5,2215.0,"530 SHORT LANE, Winter Haven, FL",Boston in Inman Groves,https://www.lennar.com/new-homes/florida/orlando/winter-haven/inman-groves/boston/16489720052
Move-in ready,"$370,235",4.0,3.0,2109.0,"531 SHORT LANE, Winter Haven, FL",Freedom in Inman Groves,https://www.lennar.com/new-homes/florida/orlando/winter-haven/inman-groves/freedom/16489720055
Move-in ready,"$345,510",4.0,2.0,1853.0,"164 INMAN BOULEVARD, Winter Haven, FL",Allentown in Inman Groves,https://www.lennar.com/new-homes/florida/orlando/winter-haven/inman-groves/allentown/16489720031
Move-in ready,"$453,975",4.0,2.5,2334.0,"2930 CAMDEN WAY, Davenport, FL",Sheffield in Providence Camden Park,https://www.lennar.com/new-homes/florida/orlando/davenport/providence-camden-park/sheffield/11115720035
Move-in ready,"$468,055",4.0,3.0,2359.0,"7157 DILLY LAKE AVE, Groveland, FL",Kennedy III in Trinity Lakes,https://www.lennar.com/new-homes/florida/orlando/groveland/trinity-lakes/executive-collection/kennedy-iii/16473720233
Move-in ready,"$499,999",4.0,3.5,2911.0,"6322 LAKEPINE STREET, St Cloud, FL",Inverness in Pine Glen,https://www.lennar.com/new-homes/florida/orlando/st-cloud/pine-glen/chateau-collection/inverness/16429720068
Move-in ready,"$387,690",4.0,2.0,1853.0,"6980 DILLY LAKE AVENUE, Groveland, FL",Allentown in Trinity Lakes,https://www.lennar.com/new-homes/florida/orlando/groveland/trinity-lakes/estate-collection/allentown/16472720169
Move-in ready,"$370,500",5.0,2.5,2215.0,"466 COOL SUMMER LANE, Davenport, FL",Boston in Horse Creek at Crosswinds,https://www.lennar.com/new-homes/florida/orlando/davenport/horse-creek-at-crosswinds/boston/16441720202
Move-in ready,"$355,340",4.0,2.5,1879.0,"1250 FURY STREET, Davenport, FL",Atlanta in Astonia,https://www.lennar.com/new-homes/florida/orlando/davenport/astonia/manor-collection/atlanta/11113720010
Move-in ready,"$333,045",4.0,2.0,1853.0,"34587 SHELLBACK STREET, Leesburg, FL",Allentown in Liberty Preserve,https://www.lennar.com/new-homes/florida/orlando/leesburg/liberty-preserve/allentown/16460720126
Move-in ready,"$396,090",5.0,2.5,2215.0,"749 CITRUS RESERVE BOULEVARD, Davenport, FL",Boston in Citrus Reserve,https://www.lennar.com/new-homes/florida/orlando/davenport/citrus-reserve/boston/16470720101
Move-in ready,"$331,515",4.0,2.0,1853.0,"34084 SKY BLOSSOM CIRCLE, Leesburg, FL",Allentown in Liberty Preserve,https://www.lennar.com/new-homes/florida/orlando/leesburg/liberty-preserve/allentown/16460720093
Move-in ready,"$330,015",4.0,2.0,1853.0,"34581 SHELLBACK STREET, Leesburg, FL",Allentown in Liberty Preserve,https://www.lennar.com/new-homes/florida/orlando/leesburg/liberty-preserve/allentown/16460720124
Move-in ready,"$364,288",5.0,2.5,2216.0,"26143 FEATHERGRASS CIR, Leesburg, FL",Boston in Windsong,https://www.lennar.com/new-homes/florida/orlando/leesburg/windsong/legacy-collection/boston/16486720120
Move-in ready,"$380,235",4.0,3.0,2109.0,"527 SHORT LANE, Winter Haven, FL",Freedom in Inman Groves,https://www.lennar.com/new-homes/florida/orlando/winter-haven/inman-groves/freedom/16489720056
Move-in ready,"$349,510",4.0,2.0,1853.0,"180 INMAN BOULEVARD, Winter Haven, FL",Allentown in Inman Groves,https://www.lennar.com/new-homes/florida/orlando/winter-haven/inman-groves/allentown/16489720028
Move-in ready,"$343,545",4.0,2.0,1853.0,"34092 SKY BLOSSOM CIRCLE, Leesburg, FL",Allentown in Liberty Preserve,https://www.lennar.com/new-homes/florida/orlando/leesburg/liberty-preserve/allentown/16460720094
Move-in ready,"$344,999",3.0,2.0,1555.0,"1119 JAMES PAUL ROAD, Davenport, FL",Dover in Astonia,https://www.lennar.com/new-homes/florida/orlando/davenport/astonia/estate-collection/dover/11114720106
Move-in ready,"$322,090",3.0,2.0,1555.0,"9400 REVERE AVENUE, Leesburg, FL",Dover in Liberty Preserve,https://www.lennar.com/new-homes/florida/orlando/leesburg/liberty-preserve/dover/16460720103
Move-in ready,"$322,090",3.0,2.0,1555.0,"9396 REVERE AVENUE, Leesburg, FL",Dover in Liberty Preserve,https://www.lennar.com/new-homes/florida/orlando/leesburg/liberty-preserve/dover/16460720102
Move-in ready,"$493,700",4.0,4.0,2795.0,"1735 GOOD NEIGHBOR LOOP, Kissimmee, FL",Simmitano in Tohoqua,https://www.lennar.com/new-homes/florida/orlando/kissimmee/tohoqua/estate-collection/simmitano/16436720205
Move-in ready,"$299,999",3.0,2.0,1555.0,"176 INMAN BOULEVARD, Winter Haven, FL",Dover in Inman Groves,https://www.lennar.com/new-homes/florida/orlando/winter-haven/inman-groves/dover/16489720029
Move-in ready,"$342,015",4.0,2.0,1853.0,"34071 SKY BLOSSOM CIRCLE, Leesburg, FL",Allentown in Liberty Preserve,https://www.lennar.com/new-homes/florida/orlando/leesburg/liberty-preserve/allentown/16460720098
Move-in ready,"$485,475",3.0,2.5,2441.0,"1916 PERCH HAMMOCK LOOP, Groveland, FL",Bonita II in Trinity Lakes,https://www.lennar.com/new-homes/florida/orlando/groveland/trinity-lakes/executive-collection/bonita-ii/16473720389
Move-in ready,"$506,947",3.0,2.5,2447.0,"6286 LAKEPINE STREET, St Cloud, FL",Bonita in Pine Glen,https://www.lennar.com/new-homes/florida/orlando/st-cloud/pine-glen/chateau-collection/bonita/16429720077
Move-in ready,"$407,380",6.0,3.0,2575.0,"1167 Cabot Cliffs Drive, Daytona Beach, FL",Concord in Preserve at LPGA,https://www.lennar.com/new-homes/florida/orlando/daytona-beach/preserve-at-lpga/legacy-collection/concord/16482720041
Move-in ready,"$519,330",4.0,3.5,2911.0,"7165 DILLY LAKE AVE, Groveland, FL",Inverness II in Trinity Lakes,https://www.lennar.com/new-homes/florida/orlando/groveland/trinity-lakes/executive-collection/inverness-ii/16473720235
