Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$650,185",4.0,3.0,2373.0,"1317 Harvest View Xing, Loxahatchee, FL",Rosemary in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-providence-collection/rosemary/7761600193
Move-in ready,"$727,250",4.0,3.0,2807.0,"1169 Haywagon Trl, Loxahatchee, FL",Cocoplum in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-stanton-collection/cocoplum/7762620004
Move-in ready,"$762,265",4.0,3.0,2807.0,"1157 Haywagon Trl, Loxahatchee, FL",Cocoplum in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-stanton-collection/cocoplum/7762620006
Move-in ready,"$596,954",3.0,2.5,2200.0,"1209 Sterling Pine Pl, Loxahatchee, FL",Coriander in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-providence-collection/coriander/7761600016
Move-in ready,"$688,425",4.0,3.0,2373.0,"1217 Sterling Pine Pl, Loxahatchee, FL",Rosemary in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-providence-collection/rosemary/7761600015
Move-in ready,"$464,705",2.0,2.0,1308.0,"14530 Bretton Woods Trce, Delray Beach, FL",HIBISCUS in Avalon Trails,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/avalon-trails/villas/hibiscus/7770600236
Move-in ready,"$448,330",2.0,2.0,1308.0,"14524 Bretton Woods Trce, Delray Beach, FL",HIBISCUS in Avalon Trails,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/avalon-trails/villas/hibiscus/7770600235
Move-in ready,"$768,145",5.0,4.0,3363.0,"3541 Haldin Pl, Royal Palm Beach, FL",Olympia in BellaSera,https://www.lennar.com/new-homes/florida/palm-beach/royal-palm-beach/bellasera/bellisima-collection/olympia/7704600283
Move-in ready,"$457,205",2.0,2.0,1308.0,"14560 Bretton Woods Trce, Delray Beach, FL",HIBISCUS in Avalon Trails,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/avalon-trails/villas/hibiscus/7770600241
Move-in ready,"$737,370",4.0,2.5,3007.0,"3533 Haldin Pl, Royal Palm Beach, FL",Helena in BellaSera,https://www.lennar.com/new-homes/florida/palm-beach/royal-palm-beach/bellasera/bellisima-collection/helena/7704600287
Move-in ready,"$744,330",5.0,3.5,3252.0,"3531 Haldin Pl, Royal Palm Beach, FL",Cheyenne in BellaSera,https://www.lennar.com/new-homes/florida/palm-beach/royal-palm-beach/bellasera/bellisima-collection/cheyenne/7704600288
Move-in ready,"$488,305",3.0,2.0,1954.0,"1285 Haywagon Trl, Loxahatchee, FL",BUTTONWOOD in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/twin-homes/buttonwood/7779600012
Move-in ready,"$698,990",4.0,3.0,2648.0,"1373 Harvest View Xing, Loxahatchee, FL",Sage in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-providence-collection/sage/7761600200
Move-in ready,"$746,095",3.0,3.0,2631.0,"1097 Haywagon Trl, Loxahatchee, FL",ACACIA in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-stanton-collection/acacia/7762620016
Move-in ready,"$1,131,210",5.0,4.5,3730.0,"817 Hookline Circle, Loxahatchee, FL",Hart in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-waterford-collection/hart/7778600150
Under construction,"$940,890",4.0,3.5,3444.0,"816 Hookline Circle, Loxahatchee, FL",Flora in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-waterford-collection/flora/7778600068
Under construction,"$731,845",3.0,3.0,2631.0,"1121 Haywagon Trl, Loxahatchee, FL",ACACIA in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-stanton-collection/acacia/7762620012
Under construction,"$490,660",3.0,2.0,1956.0,"1304 Haywagon Trl, Loxahatchee, FL",JUNIPER in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/twin-homes/juniper/7779600048
Under construction,"$458,385",2.0,2.0,1308.0,"7024 Peters Ln, Delray Beach, FL",LARKSPUR in Avalon Trails,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/avalon-trails/villas/larkspur/7770600259
Under construction,"$470,000",3.0,2.0,1305.0,"7006 Peters Ln, Delray Beach, FL",ORCHID in Avalon Trails,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/avalon-trails/villas/orchid/7770600256
Under construction,"$480,660",3.0,2.0,1954.0,"1325 Haywagon trl, Loxahatchee, FL",BUTTONWOOD in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/twin-homes/buttonwood/7779600003
Under construction,"$495,660",3.0,2.0,1954.0,"1321 Haywagon Trl, Loxahatchee, FL",BUTTONWOOD in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/twin-homes/buttonwood/7779600004
Under construction,"$480,165",3.0,2.0,1956.0,"1329 Haywagon Trl, Loxahatchee, FL",JUNIPER in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/twin-homes/juniper/7779600002
Under construction,"$946,010",4.0,3.5,3444.0,"804 Hookline Circle, Loxahatchee, FL",Flora in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-waterford-collection/flora/7778620070
Under construction,"$1,046,980",5.0,4.5,4003.0,"810 Hookline Circle, Loxahatchee, FL",Lotus in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-waterford-collection/lotus/7778600069
Under construction,"$773,305",5.0,3.5,3326.0,"1127 Haywagon Trl, Loxahatchee, FL",Holly in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-stanton-collection/holly/7762620011
Under construction,"$643,645",3.0,2.5,2104.0,"1539 Verawood Lane, Delray Beach, FL",Compasso in Banyan Court,https://www.lennar.com/new-homes/florida/palm-beach/delray-beach/banyan-court/compasso/7775600019
Under construction,"$897,400",5.0,4.5,3730.0,"798 Hookline Circle, Loxahatchee, FL",Hart in Arden,https://www.lennar.com/new-homes/florida/palm-beach/loxahatchee/arden/the-waterford-collection/hart/7778620071
