Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$330,400",4.0,2.0,1815.0,"2373 Habersham Ln, Cantonment, FL",Residence 1815 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-1815/2150371003b
Move-in ready,"$454,900",4.0,3.0,2503.0,"2405 Okatie Lane, Cantonment, FL",Residence 2503 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2503/2150371027d
Move-in ready,"$490,400",4.0,3.0,2828.0,"2467 Timsbury Loop, Cantonment, FL",Residence 2828 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2828/2150371003q
Under construction,"$460,400",4.0,3.0,2503.0,"2463 Timsburry Loop, Cantonment, FL",Residence 2503 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2503/2150371002q
Under construction,"$491,150",4.0,3.0,2828.0,"382 Tybrisa Court, Cantonment, FL",Residence 2828 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2828/2150371009r
Under construction,"$449,000",4.0,2.5,2440.0,"1977 Refuge Cir, Gulf Breeze, FL",Residence 2440 in Water's Edge,https://www.lennar.com/new-homes/florida/pensacola/gulf-breeze/waters-edge/residence-2440/21515710035
Under construction,"$339,900",4.0,2.0,1815.0,"7008 Whitetail Run Dr, Pensacola, FL",Residence 1815 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-1815/21521600003
Under construction,"$367,400",4.0,3.0,2117.0,"7004 Whitetail Run Dr, Pensacola, FL",Residence 2117 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-2117/21521600002
Under construction,"$530,400",4.0,3.0,3159.0,"2479 Timsbury Loop, Cantonment, FL",Residence 3159 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-3159/2150371006q
Under construction,"$367,400",4.0,3.0,2117.0,"7012 Whitetail Run Dr, Pensacola, FL",Residence 2117 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-2117/21521600004
Under construction,"$492,400",4.0,3.0,2828.0,"2483 Timsbury Loop, Cantonment, FL",Residence 2828 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2828/2150371007q
Under construction,"$545,900",4.0,3.0,3296.0,"2401 Okatie Lane, Cantonment, FL",Residence 3296 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-3296/2150371028d
Under construction,"$339,900",4.0,2.0,1815.0,"7029 Whitetail Run Dr, Pensacola, FL",Residence 1815 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-1815/21521600031
Under construction,"$354,900",3.0,2.5,2033.0,"7033 Whitetail Run Dr, Pensacola, FL",Residence 2033 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-2033/21521600030
Under construction,"$354,900",3.0,2.5,2033.0,"7016 Whitetail Run Dr, Pensacola, FL",Residence 2033 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-2033/21521600005
Under construction,"$460,400",4.0,3.0,2503.0,"2487 Timsbury Loop, Cantonment, FL",Residence 2503 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2503/2150371008q
Under construction,"$354,900",3.0,2.5,2033.0,"7013 Whitetail Run Dr, Pensacola, FL",Residence 2033 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-2033/21521600035
Under construction,"$338,400",4.0,2.0,1815.0,"7001 Whitetail Run Dr, Pensacola, FL",Residence 1815 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-1815/21521600038
Under construction,"$354,900",3.0,2.5,2033.0,"7005 Whitetail Run Dr, Pensacola, FL",Residence 2033 in Whitetail Run,https://www.lennar.com/new-homes/florida/pensacola/pensacola/whitetail-run/residence-2033/21521600037
Under construction,"$349,400",4.0,2.0,1815.0,"1943 Appleton Drive, Cantonment, FL",Residence 1815 in McKenzie Ridge,https://www.lennar.com/new-homes/florida/pensacola/cantonment/mckenzie-ridge/residence-1815/2151760006b
Under construction,"$348,250",4.0,2.0,1815.0,"1935 Appleton Drive, Cantonment, FL",Residence 1815 in McKenzie Ridge,https://www.lennar.com/new-homes/florida/pensacola/cantonment/mckenzie-ridge/residence-1815/2151760004b
Under construction,"$481,900",4.0,2.5,2440.0,"2071 Refuge Cir, Gulf Breeze, FL",Residence 2440 in Water's Edge,https://www.lennar.com/new-homes/florida/pensacola/gulf-breeze/waters-edge/residence-2440/21515710043
Under construction,"$445,900",4.0,3.0,2338.0,"2404 Okatie Lane, Cantonment, FL",Residence 2338 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2338/2150371030d
Under construction,"$529,400",4.0,3.0,3159.0,"2400 Okatie Lane, Cantonment, FL",Residence 3159 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-3159/2150371029d
Under construction,"$481,900",4.0,2.5,2440.0,"1985 Refuge Cir, Gulf Breeze, FL",Residence 2440 in Water's Edge,https://www.lennar.com/new-homes/florida/pensacola/gulf-breeze/waters-edge/residence-2440/21515710036
Under construction,"$445,400",4.0,3.0,2338.0,"3981 Society St, Cantonment, FL",Residence 2338 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2338/2150371002n
Under construction,"$445,400",4.0,3.0,2338.0,"292 Charlton St, Cantonment, FL",Residence 2338 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2338/2150371006n
Under construction,"$489,900",4.0,3.0,2828.0,"3985 Society St, Cantonment, FL",Residence 2828 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-2828/2150371003n
Under construction,"$529,900",4.0,3.0,3159.0,"296 Charlton St, Cantonment, FL",Residence 3159 in Carrington,https://www.lennar.com/new-homes/florida/pensacola/cantonment/carrington/residence-3159/2150371007n
