Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$513,500",3.0,3.5,3154.0,"8803 Alister Drive, Melbourne, FL",Key Largo in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/grand-villas/key-largo/773163d018
Move-in ready,"$489,995",3.0,3.0,2040.0,"8704 Alister Drive, Melbourne, FL",Sophia in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/grand-villas/sophia/773163a028
Move-in ready,"$363,475",2.0,2.0,1557.0,"1744 Velky Lane, Melbourne, FL",Areca in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/twin-homes/areca/772963g058
Under construction,"$369,455",2.0,2.0,1557.0,"1854 Velky Lane, Melbourne, FL",Areca G in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/twin-homes/areca-g/772963g047
Under construction,"$370,410",2.0,2.0,1557.0,"1834 Velky Lane, Melbourne, FL",Areca G in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/twin-homes/areca-g/772963g049
Under construction,"$364,080",2.0,2.0,1557.0,"1844 Velky Lane, Melbourne, FL",Areca in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/twin-homes/areca/772963g048
Under construction,"$502,000",3.0,3.0,2040.0,"8664 Alister Drive, Melbourne, FL",Sophia in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/grand-villas/sophia/773163b002
Under construction,"$495,265",3.0,3.0,2182.0,"8674 Alister Drive, Melbourne, FL",Freeport in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/grand-villas/freeport/773163b001
Under construction,"$560,845",3.0,3.5,3154.0,"8583 Alister Drive, Melbourne, FL",Key Largo in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/grand-villas/key-largo/773163d027
Under construction,"$470,260",5.0,2.5,2896.0,"2155 Imperia Court NW, Palm Bay, FL",Raleigh in Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/everlands/edgewood/raleigh/774160f005
Under construction,"$357,010",3.0,2.0,1826.0,"2140 Imperia Court NW, Palm Bay, FL",Dahlia in Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/everlands/edgewood/dahlia/774160f010
Under construction,"$665,195",3.0,2.0,2650.0,"932 Great Belt Circle, Melbourne, FL",Riviera in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/classics/riviera/773263c001
Under construction,"$445,035",5.0,2.5,2896.0,"527 veridian Circle NW, Palm Bay, FL",Raleigh in Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/everlands/edgewood/raleigh/774160e001
Under construction,"$362,545",4.0,2.0,1936.0,"571 Veridian Circle NW, Palm Bay, FL",Hartford in Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/everlands/edgewood/hartford/774160g002
Under construction,"$344,475",3.0,2.0,1611.0,"567 Veridian Circle NW, Palm Bay, FL",Camellia in Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/everlands/edgewood/camellia/774160g001
Under construction,"$344,535",3.0,2.0,1611.0,"2130 Imperia Court NW, Palm Bay, FL",Camellia in Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/everlands/edgewood/camellia/774160f011
Under construction,"$525,635",3.0,3.0,2040.0,"8533 Alister Drive, Melbourne, FL",Sophia in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/grand-villas/sophia/773163d032
Under construction,"$494,540",3.0,3.0,2182.0,"8523 Alister Drive, Melbourne, FL",Freeport in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/grand-villas/freeport/773163d033
Under construction,"$685,690",3.0,3.0,2468.0,"972 Great Belt Circle, Melbourne, FL",Summerville II in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/classics/summerville-ii/773263c005
Under construction,"$422,180",3.0,2.0,1695.0,"9013 Alister Drive, Melbourne, FL",Magnolia in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/villas/magnolia/773063g001
Under construction,"$507,825",3.0,3.0,2040.0,"8443 Alister Drive, Melbourne, FL",Sophia in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/grand-villas/sophia/773163d040
Coming soon,Low $300K,4.0,2.0,1817.0,"836 Dockside Drive SW, Palm Bay, FL",Harrisburg in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/heritage-at-tillman-lakes/harrisburg/776460i022
Coming soon,Mid $300K,4.0,2.0,1936.0,"806 Dockside Drive SW, Palm Bay, FL",Hartford in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/heritage-at-tillman-lakes/hartford/776460i025
Coming soon,Low $300K,3.0,2.0,1635.0,"835 Dockside Drive SW, Palm Bay, FL",Denver in Tillman Lakes,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/tillman-lakes/heritage-at-tillman-lakes/denver/776460i006
Future release,From $603K,3.0,3.5,2807.0,N/A,Venice in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/classics/venice
Future release,From $531K,3.0,2.5,2325.0,N/A,Paris in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/classics/paris
Future release,From $565K,3.0,3.0,2583.0,N/A,Treviso in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/classics/treviso
Future release,From $399K,2.0,2.0,1903.0,N/A,Nautilus in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/villas/nautilus
Future release,From $381K,3.0,2.0,1610.0,N/A,Jacaranda in Bridgewater at Viera,https://www.lennar.com/new-homes/florida/space-coast-melbourne/melbourne/bridgewater-at-viera/villas/jacaranda
Future release,From $409K,4.0,2.5,2629.0,N/A,Carlisle in Everlands,https://www.lennar.com/new-homes/florida/space-coast-melbourne/palm-bay/everlands/edgewood/carlisle
