Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$689,990",4.0,3.5,2875.0,"1037 Seagrape Dr, Ruskin, FL",Sandestin II in Southshore Yacht Club,https://www.lennar.com/new-homes/florida/tampa/ruskin/southshore-yacht-club/somerset-preserve/sandestin-ii/7278740233
Move-in ready,"$474,990",2.0,2.5,2216.0,"5157 Southern Valley Loop*, Brooksville, FL",Argent in Southern Hills,https://www.lennar.com/new-homes/florida/tampa/brooksville/southern-hills/southern-hills-manors/argent/15361750718
Move-in ready,"$939,990",5.0,4.0,4249.0,"29675 Picana Lane, Wesley Chapel, FL",Sonora in Estancia,https://www.lennar.com/new-homes/florida/tampa/wesley-chapel/estancia/ravello/sonora/66517741908
Move-in ready,"$459,990",6.0,3.0,3326.0,"10264 Shady Preserve Dr, Riverview, FL",Trenton in South Creek,https://www.lennar.com/new-homes/florida/tampa/riverview/south-creek/estates-ii/trenton/15929520053
Move-in ready,"$429,990",4.0,2.5,2999.0,"3522 N Maryland Ave, Plant City, FL",Helena in North Park Isle,https://www.lennar.com/new-homes/florida/tampa/plant-city/north-park-isle/the-executives/helena/15185760009
Move-in ready,"$379,990",4.0,2.0,1936.0,"13298 Great Plains Drive, Riverview, FL",Hartford in Triple Creek,https://www.lennar.com/new-homes/florida/tampa/riverview/triple-creek/the-estates-ii/hartford/15944520065
Move-in ready,"$457,480",6.0,3.0,2580.0,"7244 Camp Island Avenue, Sun City Center, FL",Concord in Cypress Mill,https://www.lennar.com/new-homes/florida/tampa/sun-city-center/cypress-mill/the-manors/concord/15191761301
Move-in ready,"$372,965",5.0,2.5,2217.0,"3107 Oyster Cove St, Wimauma, FL",Dallas in Berry Bay,https://www.lennar.com/new-homes/florida/tampa/wimauma/berry-bay/the-manors/dallas/1591576i001
Move-in ready,"$479,740",2.0,2.5,2216.0,"5319 Kelper Hook Ct, Wimauma, FL",Argent in Southshore Bay,https://www.lennar.com/new-homes/florida/tampa/wimauma/southshore-bay/the-estates/argent/15182713307
Move-in ready,"$339,490",3.0,2.0,1448.0,"584 Royal Empress Dr, Ruskin, FL",Annapolis in Glencove at Bay Park,https://www.lennar.com/new-homes/florida/tampa/ruskin/glencove-at-bay-park/the-manors/annapolis/15930764706
Move-in ready,"$373,045",2.0,2.5,1747.0,"17052 Clear Cork Dr, Wimauma, FL",Aurora II in Southshore Bay,https://www.lennar.com/new-homes/florida/tampa/wimauma/southshore-bay/the-villas/aurora-ii/15180713223
Move-in ready,"$634,990",5.0,4.5,3282.0,"9950 Wild Begonia Loop, Land O Lakes, FL",Preston in Connerton,https://www.lennar.com/new-homes/florida/tampa/land-o-lakes/connerton/sagewood-estates/preston/159197571b1
Move-in ready,"$354,990",3.0,2.0,1448.0,"12727 Maple Bonsai Drive, Riverview, FL",Annapolis in Triple Creek,https://www.lennar.com/new-homes/florida/tampa/riverview/triple-creek/the-manors/annapolis/15943520030
Move-in ready,"$468,490",2.0,2.5,2216.0,"17149 Scuba Crest Street, Wimauma, FL",Argent in Southshore Bay,https://www.lennar.com/new-homes/florida/tampa/wimauma/southshore-bay/the-estates/argent/15182543601
Move-in ready,"$473,490",2.0,2.5,2216.0,"17150 Scuba Crest Street, Wimauma, FL",Argent in Southshore Bay,https://www.lennar.com/new-homes/florida/tampa/wimauma/southshore-bay/the-estates/argent/15182543701
Move-in ready,"$418,415",2.0,2.0,1683.0,"17098 Shell Bay Drive*, Land O Lakes, FL",Morningtide II in Angeline,https://www.lennar.com/new-homes/florida/tampa/land-o-lakes/angeline/manors/morningtide-ii/15981710086
Move-in ready,"$462,205",2.0,2.0,1959.0,"17101 Shell Bay Drive*, Land O Lakes, FL",Sunburst II in Angeline,https://www.lennar.com/new-homes/florida/tampa/land-o-lakes/angeline/manors/sunburst-ii/15981710014
Move-in ready,"$331,560",2.0,2.0,1398.0,"16715 Shell Bay Drive, Land O Lakes, FL",Sunrise II* in Angeline,https://www.lennar.com/new-homes/florida/tampa/land-o-lakes/angeline/villas/sunriseii/15980710231
Move-in ready,"$384,990",2.0,2.0,1959.0,"19410 Forest Garden Court, Brooksville, FL",Sunburst in Southern Hills,https://www.lennar.com/new-homes/florida/tampa/brooksville/southern-hills/southern-hills-cottages/sunburst/15360751419
Move-in ready,"$332,600",4.0,2.0,1936.0,"2763 Red Egret Dr*, Bartow, FL",Hartford in Wind Meadows South,https://www.lennar.com/new-homes/florida/tampa/bartow/wind-meadows-south/the-estates/hartford/15960760102
Move-in ready,"$499,150",2.0,2.5,2216.0,"11058 Banyan Breeze Blvd*, Land O Lakes, FL",Argent II in Angeline,https://www.lennar.com/new-homes/florida/tampa/land-o-lakes/angeline/estates/argent-ii/15982710131
Move-in ready,"$512,015",3.0,2.5,2350.0,"11061 Banyan Breeze Blvd, Land O Lakes, FL",Halos II in Angeline,https://www.lennar.com/new-homes/florida/tampa/land-o-lakes/angeline/estates/halos-ii/15982710091
