Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$600,028",3.0,2.5,2236.0,"576 SE FASCINO CIR, Port St Lucie, FL",GIULIA in Tesoro,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/tesoro/giulia/22503600071
Move-in ready,"$606,325",3.0,2.5,2013.0,"681 SE FASCINO CIR, Port St Lucie, FL",ANGELO in Tesoro,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/tesoro/angelo/22503600090
Move-in ready,"$423,265",3.0,2.0,1695.0,"428 SE MULBERRY WAY, Port St Lucie, FL",Magnolia in Veranda Preserve,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/veranda-preserve/the-woodlands/magnolia/7749600321
Move-in ready,"$647,523",3.0,2.5,2236.0,"593 SE FASCINO CIR, Port St Lucie, FL",GIULIA in Tesoro,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/tesoro/giulia/22503600098
Under construction,"$434,220",2.0,2.0,1822.0,"764 SE BLOOMFIELD RD, Port St Lucie, FL",Bimini in Veranda Preserve,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/veranda-preserve/the-isles/bimini/7750600213
Under construction,"$518,625",3.0,3.5,2389.0,"760 SE BLOOMFIELD RD, Port St Lucie, FL",Key Largo in Veranda Preserve,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/veranda-preserve/the-isles/key-largo/7750600214
Under construction,"$413,165",3.0,2.0,1610.0,"797 SE BLOOMFIELD RD, Port St Lucie, FL",Jacaranda in Veranda Preserve,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/veranda-preserve/the-woodlands/jacaranda/7749600262
Under construction,"$411,165",3.0,2.0,1610.0,"805 SE BLOOMFIELD RD, Port St Lucie, FL",Jacaranda in Veranda Preserve,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/veranda-preserve/the-woodlands/jacaranda/7749600264
Under construction,"$420,765",3.0,2.0,1695.0,"801 SE BLOOMFIELD RD, Port St Lucie, FL",Magnolia in Veranda Preserve,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/veranda-preserve/the-woodlands/magnolia/7749600263
Under construction,"$461,265",4.0,2.0,2278.0,"4749 Wellington Way SW, Vero Beach, FL",Lincoln in Lakes at Brookhaven,https://www.lennar.com/new-homes/florida/treasure-coast/vero-beach/lakes-at-brookhaven/lincoln/7793600016
Under construction,"$593,020",3.0,2.5,2013.0,"560 SE FASCINO CIR, Port St Lucie, FL",ANGELO in Tesoro,https://www.lennar.com/new-homes/florida/treasure-coast/port-st-lucie/tesoro/angelo/22503600069
