Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$389,935",5.0,3.5,2795.0,"205 Lillian Street, Rincon, GA",FANNING in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/fanning/31201600058
Move-in ready,"$395,742",4.0,3.5,2902.0,"228 Lillian Street, Rincon, GA",GEORGETOWN in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/georgetown/31201600052
Move-in ready,"$371,620",3.0,2.0,1749.0,"222 Lillian Street, Rincon, GA",LITCHFIELD II in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/litchfield-ii/31201600055
Move-in ready,"$383,340",5.0,3.5,2461.0,"224 Lillian Street, Rincon, GA",KENSINGTON in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/kensington/31201600054
Move-in ready,"$402,125",5.0,3.5,2795.0,"223 Lillian Street, Rincon, GA",FANNING in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/fanning/31201600065
Move-in ready,"$379,165",5.0,3.5,2461.0,"127 Franklins Walk, Rincon, GA",KENSINGTON in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/kensington/31201600041
Move-in ready,"$383,235",5.0,3.5,2461.0,"211 Lillian Street, Rincon, GA",KENSINGTON in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/kensington/31201600061
Move-in ready,"$448,381",4.0,3.0,3570.0,"237 Lillian Street, Rincon, GA",JASPER in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/jasper/31201600072
Move-in ready,"$468,423",6.0,4.5,3440.0,"243 Lillian Street, Rincon, GA",FULTON in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/fulton/31201600075
Under construction,"$462,216",4.0,3.0,3556.0,"234 Lillian Street, Rincon, GA",JASPER in Raindance,https://www.lennar.com/new-homes/georgia/savannah/rincon/raindance/jasper/31201600049
Under construction,"$404,440",4.0,2.5,2277.0,"1591 CLUB WAY, Hardeeville, SC",RUTLEDGE in Hilton Head Lakes,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/rutledge/3120361b051
Under construction,"$404,140",4.0,2.5,2277.0,"80 Hawthorn Lane, Hardeeville, SC",RUTLEDGE in Hilton Head Lakes,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/rutledge/3120361b045
Under construction,"$453,855",3.0,2.0,1756.0,"287 CLEARWATER WALK, Hardeeville, SC",LITCHFIELD II in Hilton Head Lakes,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/litchfield-ii/3120360c021
Future release,From $396K,3.0,2.0,1772.0,N/A,ST PHILLIPS in Hilton Head Lakes,https://www.lennar.com/new-homes/south-carolina/hilton-head-bluffton/hardeeville/hilton-head-lakes/st-phillips
