Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$499,900",4.0,2.5,2498.0,"134 E Caldera St, Meridian, ID",Crescent in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/discovery/crescent/24912510119
Move-in ready,"$499,900",4.0,2.5,2498.0,"5283 S Snowden Ave, Meridian, ID",Crescent in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/discovery/crescent/24912510117
Move-in ready,"$479,900",4.0,2.5,2498.0,"5361 S Snowden Ave, Meridian, ID",Crescent in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/discovery/crescent/24912510112
Move-in ready,"$479,900",4.0,2.5,2498.0,"5345 S Snowden Ave, Meridian, ID",Crescent in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/discovery/crescent/24912510113
Move-in ready,"$489,900",4.0,2.5,2498.0,"158 E Caldera St, Meridian, ID",Crescent in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/discovery/crescent/24912510122
Move-in ready,"$489,200",4.0,2.0,2096.0,"5322 S Snowden Ave, Meridian, ID",Elara in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/summit/elara/24913510426
Move-in ready,"$564,900",4.0,2.5,2616.0,"5397 S Perlite Ave, Meridian, ID",Estelle in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/summit/estelle/24913510415
Move-in ready,"$499,900",4.0,2.5,2211.0,"142 E Caldera St, Meridian, ID",Callisto in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/discovery/callisto/24912510120
Move-in ready,"$479,900",4.0,2.5,2431.0,"11099 Roaring Fork St, Caldwell, ID",Cortina in Mandalay Ranch,https://www.lennar.com/new-homes/idaho/boise/caldwell/mandalay-ranch/fireside/cortina/24918511206
Under construction,"$449,900",4.0,2.5,2204.0,"11087 Roaring Fork St, Caldwell, ID",Celeste in Mandalay Ranch,https://www.lennar.com/new-homes/idaho/boise/caldwell/mandalay-ranch/fireside/celeste/24918511306
Under construction,"$499,900",4.0,2.0,2096.0,"5381 S Perlite Ave, Meridian, ID",Elara in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/summit/elara/24913510413
Under construction,"$499,900",4.0,2.0,2096.0,"5429 S Perlite Ave, Meridian, ID",Elara in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/summit/elara/24913510417
Under construction,"$569,900",4.0,2.5,2616.0,"206 E Caldera St, Meridian, ID",Estelle in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/summit/estelle/24913510125
Under construction,"$419,900",4.0,2.5,2211.0,"3222 E Mossy Cove St, Nampa, ID",Celeste in Mossy Creek,https://www.lennar.com/new-homes/idaho/boise/nampa/mossy-creek/celeste/24915510402
Under construction,"$448,900",4.0,2.5,2498.0,"3242 E Mossy Cove St, Nampa, ID",Cortina in Mossy Creek,https://www.lennar.com/new-homes/idaho/boise/nampa/mossy-creek/cortina/24915510502
Under construction,"$509,900",4.0,2.5,2616.0,"11126 White River St, Caldwell, ID",Estelle in Mandalay Ranch,https://www.lennar.com/new-homes/idaho/boise/caldwell/mandalay-ranch/edgewood/estelle/24919510706
Under construction,"$409,900",4.0,2.0,2096.0,"2755 S Mossy Forest Ave, Nampa, ID",Elara in Mossy Creek,https://www.lennar.com/new-homes/idaho/boise/nampa/mossy-creek/elara/24915510802
Under construction,"$429,900",3.0,2.0,1808.0,"11187 Roaring Fork St, Caldwell, ID",Capella in Mandalay Ranch,https://www.lennar.com/new-homes/idaho/boise/caldwell/mandalay-ranch/fireside/capella/24918511405
Future release,From $489K,3.0,2.0,1808.0,N/A,Capella in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/discovery/capella
Future release,From $619K,5.0,3.0,2801.0,N/A,Eclipse in Prevail,https://www.lennar.com/new-homes/idaho/boise/meridian/prevail/summit/eclipse
Future release,From $459K,4.0,2.0,2096.0,N/A,Elara in Mandalay Ranch,https://www.lennar.com/new-homes/idaho/boise/caldwell/mandalay-ranch/edgewood/elara
Future release,From $529K,5.0,3.0,2801.0,N/A,Eclipse in Mandalay Ranch,https://www.lennar.com/new-homes/idaho/boise/caldwell/mandalay-ranch/edgewood/eclipse
