Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$349,900",3.0,2.0,1365.0,"11828 Hubbe Court, Huntley, IL",Florence in Talamore,https://www.lennar.com/new-homes/illinois/chicago/huntley/talamore/andare/florence/18948710035
Move-in ready,"$369,900",3.0,2.0,1365.0,"9125 Nash Court, Huntley, IL",Florence in Talamore,https://www.lennar.com/new-homes/illinois/chicago/huntley/talamore/andare/florence/18948710010
Move-in ready,"$439,900",4.0,2.5,2237.0,"137 Hedgerow Dr., Elgin, IL",Starling ei in Tall Oaks,https://www.lennar.com/new-homes/illinois/chicago/elgin/tall-oaks/horizon-series/starling-ei/69188710101
Move-in ready,"$209,900",2.0,2.5,1558.0,"8420 STILLWATER RD, Wonder Lake, IL",Dunham II in Meadows of West Bay,https://www.lennar.com/new-homes/illinois/chicago/wonder-lake/meadows-of-west-bay/townhomes/dunham-ii/69181711802
Move-in ready,"$429,600",4.0,2.5,2448.0,"1428 Madsen St, Elburn, IL",Brooklyn in Fox Pointe,https://www.lennar.com/new-homes/illinois/chicago/elburn/fox-pointe/brooklyn/69179710135
Move-in ready,"$479,075",3.0,2.0,2171.0,"1372 Madsen St, Elburn, IL",Ridgefield in Fox Pointe,https://www.lennar.com/new-homes/illinois/chicago/elburn/fox-pointe/ridgefield/69179710023
Move-in ready,"$229,900",3.0,2.5,1757.0,"8418 STILLWATER RD, Wonder Lake, IL",Glenshire II in Meadows of West Bay,https://www.lennar.com/new-homes/illinois/chicago/wonder-lake/meadows-of-west-bay/townhomes/glenshire-ii/69181711801
Move-in ready,"$549,900",4.0,2.5,3084.0,"16127 S. Lake View Road, Plainfield, IL",Santa Rosa in Creekside Crossing,https://www.lennar.com/new-homes/illinois/chicago/plainfield/creekside-crossing/santa-rosa/18937715129
Move-in ready,"$519,900",3.0,2.0,2171.0,"167 Hibiscus Lane, Elgin, IL",Ridgefield ei in Tall Oaks,https://www.lennar.com/new-homes/illinois/chicago/elgin/tall-oaks/hartford-series/ridgefield-ei/69187710210
Move-in ready,"$414,900",3.0,2.0,1866.0,"1225 Highbrook Avenue, Hampshire, IL",Siena in Tamms Farm,https://www.lennar.com/new-homes/illinois/chicago/hampshire/tamms-farm/siena/69185710046
Move-in ready,"$549,900",3.0,2.0,2171.0,"164 Freesia Lane, Elgin, IL",Ridgefield ei in Tall Oaks,https://www.lennar.com/new-homes/illinois/chicago/elgin/tall-oaks/hartford-series/ridgefield-ei/69187710226
Move-in ready,"$429,910",4.0,2.5,2448.0,"1385 Keller St, Elburn, IL",Brooklyn in Fox Pointe,https://www.lennar.com/new-homes/illinois/chicago/elburn/fox-pointe/brooklyn/69179710020
Move-in ready,"$384,900",3.0,2.0,1866.0,"1188 Sunup Point, Hampshire, IL",Siena in Tamms Farm,https://www.lennar.com/new-homes/illinois/chicago/hampshire/tamms-farm/siena/69185710061
Move-in ready,"$233,630",2.0,2.0,1376.0,"8434 REDBUD CT, Wonder Lake, IL",Bronte in Meadows of West Bay,https://www.lennar.com/new-homes/illinois/chicago/wonder-lake/meadows-of-west-bay/duplex/bronte/69182711451
Move-in ready,"$229,900",2.0,2.5,1558.0,"8502 STILLWATER RD, Wonder Lake, IL",Dunham II in Meadows of West Bay,https://www.lennar.com/new-homes/illinois/chicago/wonder-lake/meadows-of-west-bay/townhomes/dunham-ii/69181711782
