Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$309,990",2.0,2.0,1428.0,"14505 Clover Ave, Cedar Lake, IN",Napa in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/andare/napa/69268710177
Move-in ready,"$305,990",2.0,2.0,1726.0,"14560 Clover Ave, Cedar Lake, IN",Balsam in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/paired-villas/balsam/69269712002
Move-in ready,"$279,990",2.0,2.5,1705.0,"10942 Illinois Drive, Crown Point, IN",Dunham II in Heather Ridge Duplex,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge-duplex/dunham-ii/69272710601
Move-in ready,"$301,990",2.0,2.0,1825.0,"14550 Clover Ave, Cedar Lake, IN",Dunbar in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/paired-villas/dunbar/69269712012
Move-in ready,"$303,990",2.0,2.0,1726.0,"14536 Clover Ave, Cedar Lake, IN",Balsam in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/paired-villas/balsam/69269712021
Move-in ready,"$449,990",4.0,2.5,2612.0,"14531 Garden Way, Cedar Lake, IN",Galveston in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/single-family/galveston/69267710037
Move-in ready,"$359,990",3.0,2.5,2183.0,"3185 Thoreau Drive, Portage, IN",Meadowlark in Brookside - Single Family,https://www.lennar.com/new-homes/indiana/northwest-indiana/portage/brookside-single-family/meadowlark/69273710098
Move-in ready,"$304,990",2.0,2.0,1224.0,"10249 W. 146th Ave, Cedar Lake, IN",Bennett in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/andare/bennett/69268710196
Move-in ready,"$338,016",2.0,2.0,1825.0,"14530 Clover Ave, Cedar Lake, IN",Dunbar in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/paired-villas/dunbar/69269712022
Move-in ready,"$414,990",3.0,2.5,2282.0,"14561 Garden Way, Cedar Lake, IN",Victoria in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/single-family/victoria/69267710039
Move-in ready,"$469,990",4.0,2.5,2907.0,"14575 Garden Way, Cedar Lake, IN",Raleigh in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/single-family/raleigh/69267710040
Move-in ready,"$309,990",2.0,2.5,1705.0,"10912 Illinois Drive, Crown Point, IN",Dunham II in Heather Ridge Duplex,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge-duplex/dunham-ii/69272710901
Move-in ready,"$309,990",2.0,2.0,1512.0,"10910 Illinois Drive, Crown Point, IN",Christie in Heather Ridge Duplex,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge-duplex/christie/69272710902
Move-in ready,"$304,990",3.0,2.5,1768.0,"10900 Illinois Drive, Crown Point, IN",Courtney II in Heather Ridge Duplex,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge-duplex/courtney-ii/69272711002
Move-in ready,"$397,470",4.0,2.5,2607.0,"3176 Thoreau Drive, Portage, IN",Wren in Brookside - Single Family,https://www.lennar.com/new-homes/indiana/northwest-indiana/portage/brookside-single-family/wren/69273710104
Move-in ready,"$298,700",3.0,2.5,1768.0,"10905 Illinois Drive, Crown Point, IN",Courtney II in Heather Ridge Duplex,https://www.lennar.com/new-homes/indiana/northwest-indiana/crown-point/heather-ridge-duplex/courtney-ii/69272711101
Move-in ready,"$399,900",3.0,2.5,2016.0,"10043 W. 145th Ave, Cedar Lake, IN",Ontario in Rose Garden Estates,https://www.lennar.com/new-homes/indiana/northwest-indiana/cedar-lake/rose-garden-estates/single-family/ontario/69267710055
