Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$334,990",3.0,3.0,1804.0,"2120 Bay Drive, Lino Lakes, MN",Madison in Watermark,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/lino-lakes/watermark/colonial-patriot-collection/madison/20745541687
Move-in ready,"$551,950",3.0,2.0,1734.0,"6048 Idsen Lane S, Cottage Grove, MN",Salerno in Calarosa,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/cottage-grove/calarosa/lifestyle-villa-collection/salerno/20735543328
Move-in ready,"$380,890",3.0,2.5,1777.0,"426 Murray Hill Way, Waconia, MN",St.Clair in Waterford,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/waconia/waterford/liberty-collection/stclair/22137546108
Move-in ready,"$479,990",4.0,3.0,2439.0,"143 Pondview Cir, Delano, MN",Springfield in Highland Ridge,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/delano/highland-ridge/springfield/17064558105
Move-in ready,"$487,990",2.0,2.0,1487.0,"20109 Geneva Trail, Lakeville, MN",Corsica in Cedar Hills,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/lakeville/cedar-hills/lifestyle-villa-collection/corsica/20780541101
Move-in ready,"$351,390",3.0,3.0,1804.0,"2170 Heron Court, Lino Lakes, MN",Madison in Watermark,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/lino-lakes/watermark/colonial-patriot-collection/madison/20745543354
Move-in ready,"$390,990",2.0,2.0,1559.0,"12478 Waterside Court, Rogers, MN",Magnolia in Skye Meadows,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/rogers/skye-meadows/twin-home-collection/magnolia/20787541209
Move-in ready,"$351,690",3.0,3.0,1804.0,"2154 Ada Drive, Lino Lakes, MN",Madison in Watermark,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/lino-lakes/watermark/colonial-patriot-collection/madison/20745543348
Move-in ready,"$509,990",3.0,3.0,2647.0,"7640 38th Street N., Oakdale, MN",Corsica in Willowbrooke,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/oakdale/willowbrooke/lifestyle-villa-collection/corsica/22123542519
Move-in ready,"$437,990",2.0,2.0,1582.0,"6633 91st Street S., Cottage Grove, MN",Carlisle in Summers Landing West,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/cottage-grove/summers-landing-west/heritage-collection/carlisle/20778544740
Move-in ready,"$509,380",3.0,2.0,1920.0,"6645 91st Street S., Cottage Grove, MN",Danbury in Summers Landing West,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/cottage-grove/summers-landing-west/heritage-collection/danbury/20778544739
Move-in ready,"$664,990",5.0,4.5,3200.0,"20320 Gateway Drive, Lakeville, MN",Independence in Cedar Hills,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/lakeville/cedar-hills/discovery-collection/independence/20781542717
Move-in ready,"$559,080",4.0,2.5,2692.0,"5037 Jandell Circle NE, Saint Michael, MN",Lewis in Fieldstone Passage,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/saint-michael/fieldstone-passage/discovery-collection/lewis/20760543406
Move-in ready,"$497,020",4.0,3.5,2645.0,"9650 52nd Lane NE, Saint Michael, MN",Donovan in Fieldstone Passage,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/saint-michael/fieldstone-passage/heritage-collection/donovan/20761543103
Move-in ready,"$580,355",3.0,2.0,1734.0,"20185 Ginseng Way, Lakeville, MN",Salerno in Cedar Hills,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/lakeville/cedar-hills/lifestyle-villa-collection/salerno/20780542107
Move-in ready,"$346,390",3.0,2.5,1791.0,"8705 Park Avenue NE, Otsego, MN",Franklin in Parrish Meadows,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/otsego/parrish-meadows/colonial-manor-collection/franklin/22141541803
Move-in ready,"$419,990",2.0,2.0,1585.0,"19600 116th Avenue N, Rogers, MN",Brighton in Laurel Creek,https://www.lennar.com/new-homes/minnesota/minneapolis-st-paul/rogers/laurel-creek/lifestyle-villa-collection/brighton/20729544105
