Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$424,823",2.0,2.0,1551.0,"2555 HAMPTON RD UT 1108, Henderson, NV",Residence C in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-c/32588511108
Move-in ready,"$440,688",2.0,2.0,1597.0,"2555 HAMPTON RD UT 2207, Henderson, NV",Residence B in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-b/32588512207
Move-in ready,"$398,166",2.0,2.0,1551.0,"2555 HAMPTON RD UT 2208, Henderson, NV",Residence C in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-c/32588512208
Move-in ready,"$333,655",2.0,2.5,1448.0,"267 CORDELIA COVE AVE U826, Henderson, NV",Brooklyn in The McAuley,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/the-mcauley/inspire/brooklyn/32581510826
Move-in ready,"$321,054",3.0,2.5,1544.0,"965 Nevada State Dr #5102, Henderson, NV",Sherwood in The Waverly,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/the-waverly/sherwood/32542515102
Move-in ready,"$419,452",2.0,2.0,1597.0,"2555 HAMPTON RD UT 2307, Henderson, NV",Residence B in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-b/32588512307
Move-in ready,"$340,533",2.0,2.5,1448.0,"235 CORDELIA COVE AVE U623, Henderson, NV",Brooklyn in The McAuley,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/the-mcauley/inspire/brooklyn/32581510623
Move-in ready,"$532,587",2.0,2.5,1819.0,"2555 HAMPTON RD UT 4104, Henderson, NV",Residence D in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-d/32588514104
Move-in ready,"$599,366",2.0,2.5,2247.0,"2555 HAMPTON RD UT 4210, Henderson, NV",Residence E in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-e/32588514210
Move-in ready,"$603,509",2.0,2.5,2247.0,"2555 HAMPTON RD UT 4310, Henderson, NV",Residence E in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-e/32588514310
Move-in ready,"$410,118",2.0,2.0,1424.0,"2555 HAMPTON RD UT 4206, Henderson, NV",Residence A in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-a/32588514206
Move-in ready,"$413,934",2.0,2.0,1424.0,"2555 HAMPTON RD UT 4301, Henderson, NV",Residence A in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-a/32588514301
Move-in ready,"$434,229",2.0,2.0,1597.0,"2555 HAMPTON RD UT 4207, Henderson, NV",Residence B in Terra Bella,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/terra-bella/residence-b/32588514207
Move-in ready,"$894,130",3.0,2.5,2516.0,"993 WOODBURN LN, Las Vegas, NV",Elizabeth in Heritage at Stonebridge,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/heritage-at-stonebridge/evander/elizabeth/32561510089
Move-in ready,"$843,745",3.0,2.5,2515.0,"985 WOODBURN LN, Las Vegas, NV",Ethan in Heritage at Stonebridge,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/heritage-at-stonebridge/evander/ethan/32561510091
Move-in ready,"$364,917",3.0,3.0,1545.0,"7374 DECATUR BLVD UNIT 5, North Las Vegas, NV",Bloomfield in Valley Vista,https://www.lennar.com/new-homes/nevada/las-vegas/north-las-vegas/valley-vista/roxbury/bloomfield/67801510205
Move-in ready,"$431,990",2.0,2.0,1232.0,"937 BELLEFORTE LN, Las Vegas, NV",Carson in Heritage at Stonebridge,https://www.lennar.com/new-homes/nevada/las-vegas/las-vegas/heritage-at-stonebridge/cromwell/carson/32563510164
Move-in ready,"$340,714",2.0,2.5,1448.0,"219 CORDELIA COVE AVE U525, Henderson, NV",Brooklyn in The McAuley,https://www.lennar.com/new-homes/nevada/las-vegas/henderson/the-mcauley/inspire/brooklyn/32581510525
Move-in ready,"$369,661",3.0,2.5,1544.0,"7374 DECATUR BLVD UNIT 3, North Las Vegas, NV",Sherwood in Valley Vista,https://www.lennar.com/new-homes/nevada/las-vegas/north-las-vegas/valley-vista/roxbury/sherwood/67801510203
