Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$539,950",5.0,3.0,2757.0,"458 Sabino Canyon Road, Dayton, NV",The Conestoga in Copper Canyon II,https://www.lennar.com/new-homes/nevada/reno/dayton/copper-canyon-ii/the-conestoga/10225510318
Move-in ready,"$479,950",4.0,3.0,2400.0,"466 Sabino Canyon Road, Dayton, NV",The Ponderosa in Copper Canyon II,https://www.lennar.com/new-homes/nevada/reno/dayton/copper-canyon-ii/the-ponderosa/10225510316
Move-in ready,"$559,950",4.0,3.0,2100.0,"1278 Eagle Peak Cirlce, Carson City, NV",The Highland in Sierra Crossing at Schulz Ranch,https://www.lennar.com/new-homes/nevada/reno/carson-city/sierra-crossing-at-schulz-ranch/the-highland/10211512075
Move-in ready,"$449,950",3.0,2.5,2021.0,"8948 Buffalo Grove Drive, Reno, NV",The Onyx in Peavine Trails at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/peavine-trails-at-stonefield/the-onyx/10255510445
Move-in ready,"$474,950",3.0,2.5,1945.0,"8957 Quail Falls Drive, Reno, NV",The Garnet in Arvada at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/arvada-at-stonefield/the-garnet/10254511034
Move-in ready,"$567,950",3.0,2.5,2090.0,"1992 Maradona Drive, Sparks, NV",The Danver in Pele at Pioneer Meadows,https://www.lennar.com/new-homes/nevada/reno/sparks/pele-at-pioneer-meadows/the-danver/10237510085
Move-in ready,"$474,950",4.0,3.0,2100.0,"115 Oakmont Drive, Dayton, NV",The Highland in Woodrush,https://www.lennar.com/new-homes/nevada/reno/dayton/woodrush/the-highland/10240510146
Move-in ready,"$499,950",3.0,2.5,1945.0,"9015 Quail Grove Drive, Reno, NV",The Garnet in Arvada at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/arvada-at-stonefield/the-garnet/10254511042
Move-in ready,"$424,950",3.0,2.5,1614.0,"8964 Wolf River Drive, Reno, NV",The Pietra in Arvada at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/arvada-at-stonefield/the-pietra/10254510154
Move-in ready,"$474,950",3.0,2.5,2021.0,"8961 Buffalo Grove Drive, Reno, NV",The Onyx in Peavine Trails at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/peavine-trails-at-stonefield/the-onyx/10255510406
Move-in ready,"$549,950",3.0,2.5,2759.0,"1252 Alfalfa Drive, Sparks, NV",The Lucchese in Ironwood at Kiley Ranch,https://www.lennar.com/new-homes/nevada/reno/sparks/ironwood-at-kiley-ranch/the-lucchese/10223510142
Move-in ready,"$499,950",4.0,3.0,2203.0,"8973 Buffalo Grove Drive, Reno, NV",The Emery in Peavine Trails at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/peavine-trails-at-stonefield/the-emery/10255510409
Move-in ready,"$599,950",4.0,3.0,2400.0,"2040 Lanstar Drive, Sparks, NV",The Ponderosa in Silver Ridge II,https://www.lennar.com/new-homes/nevada/reno/sparks/silver-ridge-ii/the-ponderosa/10220510440
Move-in ready,"$524,950",4.0,3.0,2590.0,"9027 Antelope Pass Drive, Reno, NV",The Jasper in Peavine Trails at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/peavine-trails-at-stonefield/the-jasper/10255510413
Move-in ready,"$584,411",4.0,3.0,2419.0,"9029 Antelope Pass Drive, Reno, NV",The Carnelian in Peavine Trails at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/peavine-trails-at-stonefield/the-carnelian/10255510412
Move-in ready,"$449,950",3.0,2.5,1945.0,"8952 Wolf River Drive, Reno, NV",The Garnet in Arvada at Stonefield,https://www.lennar.com/new-homes/nevada/reno/reno/arvada-at-stonefield/the-garnet/10254510148
Move-in ready,"$599,950",4.0,3.0,2714.0,"1951 Maradona Drive, Sparks, NV",The Babette in Pele at Pioneer Meadows,https://www.lennar.com/new-homes/nevada/reno/sparks/pele-at-pioneer-meadows/the-babette/10237510004
Move-in ready,"$489,950",4.0,3.0,2400.0,"438 Sabino Canyon Road, Dayton, NV",The Ponderosa in Copper Canyon II,https://www.lennar.com/new-homes/nevada/reno/dayton/copper-canyon-ii/the-ponderosa/10225510323
Move-in ready,"$599,949",4.0,3.0,2714.0,"1983 Zidane Drive, Sparks, NV",The Babette in Pele at Pioneer Meadows,https://www.lennar.com/new-homes/nevada/reno/sparks/pele-at-pioneer-meadows/the-babette/10237510054
Move-in ready,"$544,950",3.0,2.0,1528.0,"2002 Bishop Pine Street, Sparks, NV",The Cheyenne in Sendero at Pioneer Meadows,https://www.lennar.com/new-homes/nevada/reno/sparks/sendero-at-pioneer-meadows/the-cheyenne/10230510185
Move-in ready,"$849,350",3.0,2.0,2616.0,"10482 Claim Jumper Way, Reno, NV",The Rapallo in Viewmont at Palisades,https://www.lennar.com/new-homes/nevada/reno/reno/viewmont-at-palisades/the-rapallo/10297510057
Move-in ready,"$624,950",3.0,2.0,2200.0,"140 Eclipse Drive, Sparks, NV",The Comstock in Silver Ridge II,https://www.lennar.com/new-homes/nevada/reno/sparks/silver-ridge-ii/the-comstock/10220510433
