Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$839,990",3.0,2.5,2654.0,"27 Higbie Way, Morris Plains, NJ",Birch in Venue at The American,https://www.lennar.com/new-homes/new-jersey/new-jersey/morris-plains/venue-at-the-american/townes/birch/23953601349
Move-in ready,"$819,990",3.0,2.5,2225.0,"5 Myers Terrace, Morris Plains, NJ",Monterey in The Collection at Morris Plains,https://www.lennar.com/new-homes/new-jersey/new-jersey/morris-plains/the-collection-at-morris-plains/townes/monterey/23957600503
Move-in ready,"$819,990",3.0,2.5,2225.0,"3 Myers Terrace, Morris Plains, NJ",Monterey in The Collection at Morris Plains,https://www.lennar.com/new-homes/new-jersey/new-jersey/morris-plains/the-collection-at-morris-plains/townes/monterey/23957600502
Move-in ready,"$839,990",3.0,2.5,2654.0,"31 Higbie Way, Morris Plains, NJ",Birch in Venue at The American,https://www.lennar.com/new-homes/new-jersey/new-jersey/morris-plains/venue-at-the-american/townes/birch/23953601351
Move-in ready,"$839,990",3.0,2.5,2225.0,"7 Myers Terrace, Morris Plains, NJ",Monterey in The Collection at Morris Plains,https://www.lennar.com/new-homes/new-jersey/new-jersey/morris-plains/the-collection-at-morris-plains/townes/monterey/23957600504
Under construction,"$479,640",2.0,2.0,1361.0,"347 Main St, Little Falls, NJ",Collins in The Parke at Little Falls,https://www.lennar.com/new-homes/new-jersey/new-jersey/little-falls/the-parke-at-little-falls/collins/23952600203
Under construction,"$599,990",3.0,2.5,2224.0,"351 Main St, Little Falls, NJ",Arnold in The Parke at Little Falls,https://www.lennar.com/new-homes/new-jersey/new-jersey/little-falls/the-parke-at-little-falls/arnold/23952600205
Under construction,"$639,990",3.0,3.5,2228.0,"1703 Swales Court, Monroe Township, NJ",Pinehurst in Monroe Parke,https://www.lennar.com/new-homes/new-jersey/new-jersey/monroe-township/monroe-parke/the-townes/pinehurst/50053611703
Under construction,"$639,990",3.0,3.5,2234.0,"1705 Swales Court, Monroe Township, NJ",Pinehurst in Monroe Parke,https://www.lennar.com/new-homes/new-jersey/new-jersey/monroe-township/monroe-parke/the-townes/pinehurst/50053611705
Under construction,"$639,990",3.0,3.5,2228.0,"1707 Swales Court, Monroe Township, NJ",Pinehurst in Monroe Parke,https://www.lennar.com/new-homes/new-jersey/new-jersey/monroe-township/monroe-parke/the-townes/pinehurst/50053611707
