Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$496,999",3.0,2.5,4164.0,"3171 Windhaven Lane, Tega Cay, SC",Dover Basement in Windhaven,https://www.lennar.com/new-homes/south-carolina/charlotte/tega-cay/windhaven/meadows/dover-basement/65496600084
Move-in ready,"$540,959",3.0,2.5,2082.0,"11112 Dappled Light Trail, Mint Hill, NC",Dover in Estates at Arlington Woods,https://www.lennar.com/new-homes/north-carolina/charlotte/mint-hill/estates-at-arlington-woods/dover/18162600009
Move-in ready,"$458,679",5.0,3.5,3257.0,"122 Doncaster Drive, Mooresville, NC",Davidson in Gambill Forest,https://www.lennar.com/new-homes/north-carolina/charlotte/mooresville/gambill-forest/enclave/davidson/24841600246
Move-in ready,"$661,839",5.0,4.0,3084.0,"19108 Bird Meadow Drive, Huntersville, NC",Ellery in Northbrook,https://www.lennar.com/new-homes/north-carolina/charlotte/huntersville/northbrook/signature/ellery/24824600121
Move-in ready,"$603,619",5.0,4.5,3269.0,"11022 Dappled Light Trail, Mint Hill, NC",Grisham in Estates at Arlington Woods,https://www.lennar.com/new-homes/north-carolina/charlotte/mint-hill/estates-at-arlington-woods/grisham/18162600005
Move-in ready,"$415,749",4.0,2.5,2201.0,"6520 Gopher Road, Lancaster, SC",Sweetbay in Walnut Creek,https://www.lennar.com/new-homes/south-carolina/charlotte/lancaster/walnut-creek/walk/sweetbay/24832600322
Move-in ready,"$473,799",4.0,2.5,2654.0,"130 Doncaster Drive, Mooresville, NC",Durham in Gambill Forest,https://www.lennar.com/new-homes/north-carolina/charlotte/mooresville/gambill-forest/enclave/durham/24841600248
Move-in ready,"$473,179",4.0,2.5,2490.0,"123 Doncaster Drive, Mooresville, NC",Camden in Gambill Forest,https://www.lennar.com/new-homes/north-carolina/charlotte/mooresville/gambill-forest/enclave/camden/24841600271
Move-in ready,"$395,019",3.0,2.5,1735.0,"226 Eden Avenue, Mooresville, NC",Crestwind in Gambill Forest,https://www.lennar.com/new-homes/north-carolina/charlotte/mooresville/gambill-forest/meadows/crestwind/24842600148
Move-in ready,"$457,999",5.0,4.5,3269.0,"124 Doncaster Drive, Mooresville, NC",Grisham in Gambill Forest,https://www.lennar.com/new-homes/north-carolina/charlotte/mooresville/gambill-forest/enclave/grisham/24841600247
