Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$461,325",3.0,2.0,1748.0,"5644 Whitebark Drive, Myrtle Beach, SC",LITCHFIELD II in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/arbor-collection/litchfield-ii/25052600081
Move-in ready,"$349,495",3.0,2.0,1742.0,"1322 Willow Run Drive, Little River, SC",Litchfield II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/litchfield-ii/31104600326
Move-in ready,"$335,725",3.0,2.0,1414.0,"2030 Willow Run Drive, Little River, SC",Belhaven II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/belhaven-ii/31104600318
Move-in ready,"$550,315",4.0,2.5,2376.0,"5718 Lacebark Trail, Myrtle Beach, SC",VIRGINIAN II in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/coastal-collection/virginian-ii/25053600074
Move-in ready,"$363,175",3.0,2.0,1941.0,"2054 Santa Maria Street, Myrtle Beach, SC",SPARROW in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/sparrow/25057600558
Move-in ready,"$383,175",3.0,2.5,2235.0,"2042 Santa Maria Street, Myrtle Beach, SC",WAVERLY in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/waverly/25057600561
Move-in ready,"$385,125",3.0,2.5,2235.0,"2000 Santa Maria Street, Myrtle Beach, SC",WAVERLY in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/waverly/25057600570
Move-in ready,"$402,060",3.0,2.0,1742.0,"2032 Willow Run Drive, Little River, SC",Litchfield II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/litchfield-ii/31104600319
Move-in ready,"$454,515",3.0,2.0,1804.0,"603 Shortleaf Path, Myrtle Beach, SC",ANNANDALE in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/arbor-collection/annandale/25052600051
Move-in ready,"$380,205",3.0,2.0,1414.0,"1302 Willow Run Drive, Little River, SC",Belhaven II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/belhaven-ii/31104600321
Move-in ready,"$413,640",3.0,2.0,1748.0,"5687 Lacebark Drive, Myrtle Beach, SC",LITCHFIELD II in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/arbor-collection/litchfield-ii/25052600086
Move-in ready,"$385,995",3.0,2.0,1748.0,"2034 Willow Run Drive, Little River, SC",Litchfield II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/litchfield-ii/31104600320
Move-in ready,"$510,145",3.0,2.0,1748.0,"5675 Lacebark Drive, Myrtle Beach, SC",LITCHFIELD II in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/arbor-collection/litchfield-ii/25052600084
Move-in ready,"$473,860",3.0,2.0,1804.0,"5681 Lacebark Drive, Myrtle Beach, SC",ANNANDALE in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/arbor-collection/annandale/25052600085
Move-in ready,"$421,770",3.0,2.0,1772.0,"5715 Lacebark Trail, Myrtle Beach, SC",ST PHILLIPS in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/arbor-collection/st-phillips/25052600076
Move-in ready,"$394,845",3.0,2.0,1748.0,"1318 Willow Run Drive, Little River, SC",Litchfield II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/litchfield-ii/31104600325
Move-in ready,"$391,970",3.0,2.0,1748.0,"2026 Willow Run Drive, Little River, SC",Litchfield II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/litchfield-ii/31104600316
Move-in ready,"$476,555",5.0,3.5,2449.0,"5691 Lacebark Drive, Myrtle Beach, SC",KENSINGTON in The Preserve at Pine Lakes,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-preserve-at-pine-lakes/arbor-collection/kensington/25052600087
Move-in ready,"$333,585",6.0,3.0,2535.0,"1128 Saltgrass Way, Myrtle Beach, SC",CONCORD in Cooper's Bluff,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/coopers-bluff/concord/25050600507
Move-in ready,"$356,585",6.0,3.0,3011.0,"1124 Saltgrass Way, Myrtle Beach, SC",RICHMOND in Cooper's Bluff,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/coopers-bluff/richmond/25050600508
Under construction,"$354,680",3.0,2.0,1772.0,"1326 Willow Run Drive, Little River, SC",St Phillips in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/st-phillips/31104600327
Under construction,"$371,305",3.0,2.0,1414.0,"2024 Willow Run Drive, Little River, SC",Belhaven II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/belhaven-ii/31104600315
Under construction,"$405,990",3.0,2.0,1772.0,"2028 Willow Run Drive, Little River, SC",St Phillips in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/st-phillips/31104600317
Under construction,"$370,245",3.0,2.0,1414.0,"1301 Willow Run Drive, Little River, SC",Belhaven II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/belhaven-ii/31104600313
Under construction,"$385,995",3.0,2.0,1748.0,"416 Wood Forest Ct, Little River, SC",Litchfield II in Palm Lakes Plantation,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/little-river/palm-lakes-plantation/arbor-collection/litchfield-ii/31104601005
Under construction,"$427,550",3.0,2.5,2235.0,"4039 Da Vinci Drive, Myrtle Beach, SC",WAVERLY in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/waverly/25057600508
Under construction,"$414,645",3.0,2.5,2235.0,"4023 Da Vinci Drive, Myrtle Beach, SC",WAVERLY in The Isles at Bella Vita,https://www.lennar.com/new-homes/south-carolina/myrtle-beach/myrtle-beach/the-isles-at-bella-vita/waverly/25057600506
