Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$512,000",3.0,2.5,1720.0,"1578 18th Ave, Forest Grove, OR",Alameda in Gales Creek Terrace,https://www.lennar.com/new-homes/oregon/portland/forest-grove/gales-creek-terrace/the-cascade-collection/alameda/70104510031
Move-in ready,"$660,900",5.0,3.0,2892.0,"7375 SE 156th Ave, Portland, OR",Marquam in Hawthorne Estates,https://www.lennar.com/new-homes/oregon/portland/portland/hawthorne-estates/marquam/70118510025
Move-in ready,"$852,900",6.0,3.5,4232.0,"1895 NW Charles St, McMinnville, OR",Windsor in Baker Creek,https://www.lennar.com/new-homes/oregon/portland/mcminnville/baker-creek/the-ruby-collection/windsor/70117510117
Move-in ready,"$439,900",4.0,2.5,1814.0,"1446 Smith Dr, Woodburn, OR",Cadence in Smith Creek,https://www.lennar.com/new-homes/oregon/portland/woodburn/smith-creek/the-harmony-collection/cadence/70109510190
Move-in ready,"$642,900",4.0,3.0,2350.0,"1949 N Hyssop St, Canby, OR",Jade in Dodds Farm,https://www.lennar.com/new-homes/oregon/portland/canby/dodds-farm/jade/70100510081
Move-in ready,"$474,900",3.0,2.5,1720.0,"1319 19th Ave, Forest Grove, OR",Alameda in Gales Creek Terrace,https://www.lennar.com/new-homes/oregon/portland/forest-grove/gales-creek-terrace/the-cascade-collection/alameda/70104510158
Move-in ready,"$550,900",5.0,3.0,2341.0,"399 Killian Spring Dr, Woodburn, OR",Dalton in Smith Creek,https://www.lennar.com/new-homes/oregon/portland/woodburn/smith-creek/the-sterling-collection/dalton/70089530330
Move-in ready,"$579,900",4.0,2.0,1946.0,"37354 Sockeye St, Sandy, OR",Endicott in Shaylee Meadows,https://www.lennar.com/new-homes/oregon/portland/sandy/shaylee-meadows/endicott/70087510051
Move-in ready,"$483,350",3.0,2.5,1720.0,"1327 19th Ave, Forest Grove, OR",Alameda in Gales Creek Terrace,https://www.lennar.com/new-homes/oregon/portland/forest-grove/gales-creek-terrace/the-cascade-collection/alameda/70104510160
Move-in ready,"$631,400",4.0,2.5,1814.0,"3909 SE ZIRCON LN, Hillsboro, OR",Clark in Reed's Crossing,https://www.lennar.com/new-homes/oregon/portland/hillsboro/reeds-crossing/the-legacy-collection/clark/70083510877
Move-in ready,"$619,400",3.0,2.5,2557.0,"6317 SE 23rd St, Gresham, OR",Mulberry in Skyliner Crossing,https://www.lennar.com/new-homes/oregon/portland/gresham/skyliner-crossing/mulberry/70111510022
Move-in ready,"$596,900",4.0,3.0,2448.0,"2896 NW Gregory Dr, McMinnville, OR",Larwood in Baker Creek,https://www.lennar.com/new-homes/oregon/portland/mcminnville/baker-creek/the-topaz-collection/larwood/70114520228
Move-in ready,"$529,900",3.0,2.5,1764.0,"1326 19th Ave, Forest Grove, OR",Blairmont in Gales Creek Terrace,https://www.lennar.com/new-homes/oregon/portland/forest-grove/gales-creek-terrace/the-cascade-collection/blairmont/70104510180
Move-in ready,"$545,900",4.0,3.0,2269.0,"2872 NW Gregory Dr, McMinnville, OR",Arlington in Baker Creek,https://www.lennar.com/new-homes/oregon/portland/mcminnville/baker-creek/the-topaz-collection/arlington/70114520229
Move-in ready,"$562,900",5.0,3.0,2341.0,"360 KILLIAN SPRING DRIVE, Woodburn, OR",Dalton in Smith Creek,https://www.lennar.com/new-homes/oregon/portland/woodburn/smith-creek/the-sterling-collection/dalton/70089530363
Move-in ready,"$529,900",3.0,2.5,1542.0,"7857 SE Roaring Ln, Hillsboro, OR",Burton in Reed's Crossing,https://www.lennar.com/new-homes/oregon/portland/hillsboro/reeds-crossing/the-heritage-collection/burton/70082520679
Move-in ready,"$624,900",3.0,2.0,1897.0,"1885 N Hyssop St, Canby, OR",Elmhurst in Dodds Farm,https://www.lennar.com/new-homes/oregon/portland/canby/dodds-farm/elmhurst/70100510075
Move-in ready,"$536,900",3.0,2.5,1626.0,"7827 SE Siltcoos Ln, Hillsboro, OR",Brookings in Reed's Crossing,https://www.lennar.com/new-homes/oregon/portland/hillsboro/reeds-crossing/the-heritage-collection/brookings/70082520723
Move-in ready,"$651,400",3.0,2.5,2346.0,"30973 NW Brooking St, North Plains, OR",Rockford in Brynhill,https://www.lennar.com/new-homes/oregon/portland/north-plains/brynhill/the-douglas-collection/rockford/70093510081
Move-in ready,"$531,900",3.0,2.5,1626.0,"7835 SE Roaring Ln, Hillsboro, OR",Brookings in Reed's Crossing,https://www.lennar.com/new-homes/oregon/portland/hillsboro/reeds-crossing/the-heritage-collection/brookings/70082520678
Move-in ready,"$581,700",3.0,3.0,1835.0,"8251 SE CRABAPPLE ST, Hillsboro, OR",Newport in Reed's Crossing,https://www.lennar.com/new-homes/oregon/portland/hillsboro/reeds-crossing/the-jubilee-collection/newport/70136510884
Move-in ready,"$629,420",3.0,3.5,2476.0,"30985 NW Brooking St, North Plains, OR",Everest in Brynhill,https://www.lennar.com/new-homes/oregon/portland/north-plains/brynhill/the-douglas-collection/everest/70093510082
