Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$519,900",4.0,2.5,2306.0,"2095 Legacy Heights Dr SE, Salem, OR",Ashland in Legacy Heights,https://www.lennar.com/new-homes/oregon/willamette-valley/salem/legacy-heights/ashland/70126510073
Move-in ready,"$543,900",4.0,2.5,2306.0,"2010 Legacy Heights Dr SE, Salem, OR",Ashland in Legacy Heights,https://www.lennar.com/new-homes/oregon/willamette-valley/salem/legacy-heights/ashland/70126510013
Move-in ready,"$484,900",4.0,2.5,2306.0,"1649 NOLAN AVENUE, Albany, OR",Ashland in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/ashland/70129510069
Move-in ready,"$410,400",3.0,2.5,1764.0,"6203 EDSON STREET, Albany, OR",Blairmont in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/blairmont/70129510006
Move-in ready,"$446,400",3.0,2.5,2061.0,"1628 NOLAN AVENUE, Albany, OR",Cypress in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/cypress/70129510019
Move-in ready,"$512,900",4.0,3.0,2341.0,"905 Paul St, Mt Angel, OR",Jade in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/jade/70107510001
Move-in ready,"$484,900",5.0,3.0,2268.0,"915 Paul St, Mt Angel, OR",Arlington in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/arlington/70107510002
Move-in ready,"$414,900",3.0,2.0,1495.0,"1592 NOLAN AVENUE, Albany, OR",Avery in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/avery/70129510021
Under construction,"$444,900",3.0,2.0,1680.0,"1578 NOLAN AVENUE, Albany, OR",Trenton in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/trenton/70129510022
Under construction,"$480,900",3.0,2.5,2061.0,"1429 Farmington Dr, Junction City, OR",Cypress in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/cypress/70128510147
Under construction,"$535,900",4.0,2.5,2306.0,"1585 NOLAN AVENUE, Albany, OR",Ashland in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/ashland/70129510067
Under construction,"$515,900",5.0,3.0,2268.0,"2082 Legacy Heights Dr SE, Salem, OR",Arlington in Legacy Heights,https://www.lennar.com/new-homes/oregon/willamette-valley/salem/legacy-heights/arlington/70126510019
Under construction,"$455,800",3.0,2.0,1659.0,"1439 Farmington Dr, Junction City, OR",Trenton in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/trenton/70128510146
Under construction,"$516,900",4.0,3.0,2341.0,"1422 Farmington Dr, Junction City, OR",Jade in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/jade/70128510160
Under construction,"$487,900",4.0,2.0,1946.0,"925 Paul St, Mt Angel, OR",Endicott in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/endicott/70107510003
Under construction,"$469,900",3.0,2.0,1659.0,"920 Paul St, Mt Angel, OR",Trenton in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/trenton/70107510014
Under construction,"$540,900",4.0,3.0,2285.0,"1000 Paul St, Mt Angel, OR",Cameron in Wachter Meadows,https://www.lennar.com/new-homes/oregon/willamette-valley/mt-angel/wachter-meadows/cameron/70107510012
Under construction,"$455,400",3.0,2.5,1894.0,"3903 Lindburg Rd SE, Salem, OR",Calloway in Legacy Heights,https://www.lennar.com/new-homes/oregon/willamette-valley/salem/legacy-heights/calloway/70126510032
Under construction,"$505,900",3.0,2.5,2306.0,"1449 Farmington Dr, Junction City, OR",Ashland in The Reserve,https://www.lennar.com/new-homes/oregon/willamette-valley/junction-city/the-reserve/ashland/70128510143
Under construction,"$476,400",3.0,2.0,1659.0,"2242 Audubon Ave SE, Salem, OR",Trenton in Legacy Heights,https://www.lennar.com/new-homes/oregon/willamette-valley/salem/legacy-heights/trenton/70126510044
Future release,From $474K,3.0,2.5,1875.0,N/A,Carmichael in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/carmichael
Future release,From $449K,4.0,3.5,1975.0,N/A,Aubrey in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/aubrey
Future release,From $519K,4.0,3.0,2341.0,N/A,Jade in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/jade
Future release,From $511K,5.0,3.0,2268.0,N/A,Arlington in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/arlington
Future release,From $574K,4.0,3.5,2620.0,N/A,Leverich in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/leverich
Future release,From $454K,3.0,2.5,1987.0,N/A,Charlotte in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/charlotte
Future release,From $499K,4.0,2.0,1946.0,N/A,Endicott in Henshaw Farm,https://www.lennar.com/new-homes/oregon/willamette-valley/albany/henshaw-farm/endicott
Future release,From $511K,3.0,2.5,2061.0,N/A,Cypress in Legacy Heights,https://www.lennar.com/new-homes/oregon/willamette-valley/salem/legacy-heights/cypress
