Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$400,900",3.0,2.0,1921.0,"1134 Kane Blue Run, Summerville, SC",COLLINS in Horizons at Summers Corner,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/horizons-at-summers-corner/the-legends/collins/25063601131
Move-in ready,"$400,415",3.0,2.0,1921.0,"1208 Moonshell Street, Summerville, SC",COLLINS in Horizons at Summers Corner,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/horizons-at-summers-corner/the-legends/collins/25063601151
Move-in ready,"$416,505",3.0,2.0,1921.0,"1207 Moonshell Street, Summerville, SC",COLLINS in Horizons at Summers Corner,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/horizons-at-summers-corner/the-legends/collins/25063601160
Move-in ready,"$377,785",3.0,2.0,1715.0,"1119 Kane Blue Run, Summerville, SC",OSPREY in Horizons at Summers Corner,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/horizons-at-summers-corner/the-legends/osprey/25063601128
Move-in ready,"$416,070",4.0,2.5,2368.0,"1221 Moonshell Street, Summerville, SC",WAVERLY in Horizons at Summers Corner,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/horizons-at-summers-corner/the-legends/waverly/25063601153
Move-in ready,"$465,020",4.0,3.5,3110.0,"480 Richfield Way, Summerville, SC",HOME WITHIN A HOME - TAYLOR in Waterside at Lakes of Cane Bay,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/waterside-at-lakes-of-cane-bay/arbor-collection/home-within-a-home-taylor/25070600158
Move-in ready,"$456,982",5.0,2.5,2189.0,"469 Minim Street, Charleston, SC",BOSTON in Grand Bees,https://www.lennar.com/new-homes/south-carolina/charleston/charleston/grand-bees/american-dream-series-30s/boston/65611610214
Move-in ready,"$450,430",3.0,3.0,2518.0,"1152 Cane Creek Way, Summerville, SC",REDBUD in Horizons at Summers Corner,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/horizons-at-summers-corner/the-estates/redbud/25064601091
Under construction,"$360,442",5.0,2.5,2189.0,"535 Spanish Wells Road, Summerville, SC",BOSTON in Lindera Preserve at Cane Bay Plantation,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/lindera-preserve-at-cane-bay-plantation/american-dream-series/boston/25023601419
Under construction,"$457,560",4.0,2.5,3040.0,"465 Richfield Way, Summerville, SC",FRANKLIN in Waterside at Lakes of Cane Bay,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/waterside-at-lakes-of-cane-bay/coastal-collection/franklin/25031600174
Under construction,"$501,570",4.0,3.5,3110.0,"468 Richfield Way, Summerville, SC",HOME WITHIN A HOME - TAYLOR in Waterside at Lakes of Cane Bay,https://www.lennar.com/new-homes/south-carolina/charleston/summerville/waterside-at-lakes-of-cane-bay/arbor-collection/home-within-a-home-taylor/25070600164
Under construction,"$585,355",4.0,2.0,2617.0,"7062 PUMPKINSEED DR, Johns Island, SC",BARRETT II in Saint John's Lake,https://www.lennar.com/new-homes/south-carolina/charleston/johns-island/saint-johns-lake/coastal-collection/barrett-ii/65609600541
