Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$132,999",1.0,1.0,350.0,"4235 Thalweg Way, San Antonio, TX",Cooley in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/dream-collection/cooley/40155524809
Move-in ready,"$228,499",3.0,2.0,1440.0,"13823 Weir Place, San Antonio, TX",Durbin in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/cottage-collection/durbin/40139523070
Move-in ready,"$236,499",3.0,2.0,1474.0,"2610 Robles Street, San Antonio, TX",Gannes in Villa Park,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/villa-park/gannes/40165520238
Move-in ready,"$216,999",3.0,2.5,1360.0,"20351 Andalusite Way, San Antonio, TX",Rincon in Ruby Crossing,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/ruby-crossing/wellton-collection/rincon/40236521340
Move-in ready,"$232,199",3.0,2.0,1300.0,"14231 Estuary Place, San Antonio, TX",Pitney in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/belmar-collection/pitney/40154523016
Move-in ready,"$293,999",4.0,2.0,1667.0,"101 Olympic Cv, Seguin, TX",Nettleton in Guadalupe Heights,https://www.lennar.com/new-homes/texas/san-antonio/seguin/guadalupe-heights/watermill-collection/nettleton/4011152031a
Move-in ready,"$268,902",4.0,2.5,1874.0,"11967 Sand Wedge Way, San Antonio, TX",Selsey in Mission Del Lago,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/mission-del-lago/watermill-collection/selsey/40076524115
Move-in ready,"$359,699",3.0,2.0,1911.0,"411 Butterfly Bush Ct, New Braunfels, TX",Jardin in Heather Glen,https://www.lennar.com/new-homes/texas/san-antonio/new-braunfels/heather-glen/barringtonwatermillwestfield/jardin/40090534d10
Move-in ready,"$294,000",3.0,2.0,1459.0,"5830 Geronimo Way, Seguin, TX",Roffee in Navarro Ranch,https://www.lennar.com/new-homes/texas/san-antonio/seguin/navarro-ranch/barrington-collection/roffee/40123521513
Move-in ready,"$241,999",4.0,2.0,1627.0,"2943 Ruby Crossing, San Antonio, TX",Drexel in Ruby Crossing,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/ruby-crossing/cottage-collection/drexel/40128521522
Move-in ready,"$246,999",4.0,2.0,1627.0,"4315 Fluvial Circle, San Antonio, TX",Drexel in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/cottage-collection/drexel/40139523520
Move-in ready,"$290,424",3.0,2.0,1675.0,"3386 Carducci Dr, Converse, TX",Thayer in Paloma,https://www.lennar.com/new-homes/texas/san-antonio/converse/paloma/barrington-collection/thayer/40208521390
Move-in ready,"$243,999",3.0,2.0,1266.0,"4243 Revetment Way, San Antonio, TX",Rundle in Southton Meadows,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/southton-meadows/cottage-collection/rundle/40139523723
Move-in ready,"$313,249",4.0,2.0,1667.0,"5774 Companion Loop, Bulverde, TX",Nettleton in Hidden Trails,https://www.lennar.com/new-homes/texas/san-antonio/bulverde/hidden-trails/watermill-collection/nettleton/40073523327
Move-in ready,"$351,999",4.0,2.0,1667.0,"2737 Green Finch, New Braunfels, TX",Nettleton in Voss Farms,https://www.lennar.com/new-homes/texas/san-antonio/new-braunfels/voss-farms/watermill-collection/nettleton/40088532534
Move-in ready,"$353,999",3.0,2.0,1910.0,"2848 Green Finch, New Braunfels, TX",Bradwell in Voss Farms,https://www.lennar.com/new-homes/texas/san-antonio/new-braunfels/voss-farms/barrington-collections/bradwell/40089522213
Move-in ready,"$269,999",3.0,2.0,1217.0,"2769 Green Finch, New Braunfels, TX",Fullerton in Voss Farms,https://www.lennar.com/new-homes/texas/san-antonio/new-braunfels/voss-farms/watermill-collection/fullerton/40088532526
Move-in ready,"$293,999",3.0,2.0,1474.0,"2733 Green Finch, New Braunfels, TX",Gannes in Voss Farms,https://www.lennar.com/new-homes/texas/san-antonio/new-braunfels/voss-farms/watermill-collection/gannes/40088532535
Move-in ready,"$275,499",3.0,2.0,1645.0,"2720 La Mundial Street, Seguin, TX",Abby in Cordova Crossing,https://www.lennar.com/new-homes/texas/san-antonio/seguin/cordova-crossing/abby/40131520413
Move-in ready,"$212,499",3.0,2.0,1450.0,"831 Cook Bend, San Antonio, TX",Cambria in Mission Del Lago,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/mission-del-lago/barringtonbroadviewandstonehill/cambria/40040584728
Move-in ready,"$239,899",3.0,2.0,1217.0,"9011 Astral Cove, San Antonio, TX",Fullerton in Crescent Hills,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/crescent-hills/watermill-collection/fullerton/40148528514
Move-in ready,"$233,749",3.0,2.0,1129.0,"8103 Nube Medina, San Antonio, TX",Remsen in Medina Landing,https://www.lennar.com/new-homes/texas/san-antonio/san-antonio/medina-landing/belmar-collection/remsen/40187523550
