Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$468,740",5.0,4.5,4034.0,"99 Branson Cir., Shepherdstown, WV",HARLOW II in Colonial Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shepherdstown/colonial-hills/harlow-ii/2299365s057
Move-in ready,"$454,590",4.0,3.5,4034.0,"73 Branson Cir., Shepherdstown, WV",HARLOW II in Colonial Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shepherdstown/colonial-hills/harlow-ii/2299365s059
Under construction,"$530,890",4.0,2.5,2229.0,"227 Triberg Dr., Charles Town, WV",Plymouth in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/plymouth/22807650272
Under construction,"$491,965",4.0,2.5,2229.0,"270 Triberg Dr., Charles Town, WV",Plymouth in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/plymouth/22807650285
Coming soon,High $400K,3.0,2.5,1729.0,"Lot 279 Triberg Dr., Charles Town, WV",Hampton in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/hampton/22807650279
Future release,SOLD OUT,4.0,2.0,3311.0,N/A,CONCORD in Colonial Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shepherdstown/colonial-hills/concord
Future release,SOLD OUT,3.0,2.0,1729.0,N/A,HAMPTON in Colonial Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shepherdstown/colonial-hills/hampton
Future release,Sold Out,4.0,3.0,3005.0,N/A,BONNINGTON in Harvest Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shenandoah-junction/harvest-hills/bonnington
Future release,Sold Out,4.0,2.0,2853.0,N/A,COLUMBIA in Harvest Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shenandoah-junction/harvest-hills/columbia
Future release,Sold Out,4.0,2.0,3311.0,N/A,CONCORD in Harvest Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shenandoah-junction/harvest-hills/concord
Future release,Sold Out,4.0,2.0,3083.0,N/A,HARLOW II in Harvest Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shenandoah-junction/harvest-hills/harlow-ii
Future release,Sold Out,4.0,2.0,1803.0,N/A,Lexington Slab in Harvest Hills,https://www.lennar.com/new-homes/west-virginia/jefferson-county/shenandoah-junction/harvest-hills/lexington-slab
Future release,From $489K,4.0,2.0,2411.0,N/A,Windsor in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/windsor
Future release,From $459K,4.0,2.0,1810.0,N/A,Lexington in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/lexington
Future release,From $514K,4.0,2.0,2796.0,N/A,Williamsburg in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/williamsburg
Future release,From $524K,4.0,2.0,2871.0,N/A,Hartford in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/hartford
Future release,From $499K,4.0,2.0,2682.0,N/A,Powell in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/single-family-homes/powell
Future release,from the low $300s,3.0,2.0,1793.0,N/A,Savannah in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/townhomes/savannah
Future release,from the upper $200s,3.0,2.0,1646.0,N/A,Lancaster in Norborne Glebe,https://www.lennar.com/new-homes/west-virginia/jefferson-county/charles-town/norborne-glebe/townhomes/lancaster
Future release,Coming Soon,4.0,2.0,2229.0,N/A,Plymouth in Shenandoah Springs,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/flowing-springs-collection/plymouth
Future release,Coming Soon,4.0,2.0,2682.0,N/A,Powell in Shenandoah Springs,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/flowing-springs-collection/powell
Future release,Coming Soon,4.0,2.0,2375.0,N/A,Primrose in Shenandoah Springs,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/mountain-laurel-collection/primrose
Future release,Coming Soon,4.0,2.0,2231.0,N/A,Laurel in Shenandoah Springs,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/mountain-laurel-collection/laurel
Future release,Coming Soon,4.0,2.0,2550.0,N/A,Ashton in Shenandoah Springs,https://www.lennar.com/new-homes/west-virginia/jefferson-county/ranson/shenandoah-springs/mountain-laurel-collection/ashton
