,Availability,Price,Beds,Baths,Sqft,Address,Community
0,Move-in ready,"$318,600",3 bd,2 ba,"2,033 ft²","24212 Costello Dr, Athens, AL",Residence 2033 in Browns Crossing West
1,Move-in ready,"$327,900",3 bd,2 ba,"1,911 ft²","14960 Demarie Ln, Athens, AL",Residence 1911 in Browns Crossing West
2,Move-in ready,"$409,950",3 bd,2.5 ba,"2,369 ft²","310 Hay Rake Dr, Madison, AL",Farmhouse Unit 6 in Clift Farm
3,Move-in ready,"$409,950",3 bd,2.5 ba,"2,369 ft²","306 Hay Rake Dr, Madison, AL",Farmhouse Unit 6 in Clift Farm
4,Move-in ready,"$409,950",3 bd,2.5 ba,"2,369 ft²","308 Hay Rake Dr, Madison, AL",Farmhouse Unit 6 in Clift Farm
5,Move-in ready,"$341,650",3 bd,2 ba,"1,846 ft²","14961 Demaire Ln, Athens, AL",Residence 1846 in Browns Crossing West
6,Move-in ready,"$430,900",4 bd,3 ba,"2,503 ft²","21949 Shearwater Dr, Athens, AL",Residence 2503 in Nature's Cove West
7,Move-in ready,"$470,505",4 bd,3 ba,"3,159 ft²","21956 Shearwater Dr, Athens, AL",Residence 3159 in Nature's Cove West
8,Move-in ready,"$341,390",3 bd,2 ba,"1,911 ft²","9544 Hampton Oak Dr SE, Owens Cross Roads, AL",Residence 1911 in Oak Meadows
9,Under construction,"$359,880",4 bd,2 ba,"1,815 ft²","9507 Hampton Oak Dr SE, Owens Cross Roads, AL",Residence 1815 in Oak Meadows
10,Under construction,"$359,380",4 bd,2 ba,"1,815 ft²","6524 Oak Meadow Dr SE, Owens Cross Roads, AL",Residence 1815 in Oak Meadows
11,Under construction,"$359,880",3 bd,2 ba,"1,846 ft²","6526 Oak Meadow Dr SE, Owens Cross Roads, AL",Residence 1846 in Oak Meadows
12,Under construction,"$353,430",3 bd,2 ba,"1,696 ft²","6520 Oak Meadow Dr SE, Owens Cross Roads, AL",Residence 1696 in Oak Meadows
13,Under construction,"$339,425",4 bd,2 ba,"2,022 ft²","14705 Greenleaf Dr, Athens, AL",Residence 2022 in Browns Crossing West
14,Under construction,"$331,675",3 bd,2 ba,"1,846 ft²","14716 Greenleaf Dr, Athens, AL",Residence 1846 in Browns Crossing West
15,Under construction,"$329,925",4 bd,2 ba,"1,815 ft²","14704 Greenleaf Dr, Athens, AL",Residence 1815 in Browns Crossing West
16,Under construction,"$333,500",3 bd,2 ba,"1,911 ft²","14728 Greenleaf Dr, Athens, AL",Residence 1911 in Browns Crossing West
17,Under construction,"$345,930",3 bd,2 ba,"1,660 ft²","6518 Oak Meadow Dr SE, Owens Cross Roads, AL",Residence 1660 in Oak Meadows
18,Under construction,"$358,230",4 bd,2 ba,"1,815 ft²","165 Rosemary Ayers Dr, Madison, AL",Residence 1815 in The Crossings
19,Under construction,"$345,965",3 bd,2 ba,"1,850 ft²","163 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
20,Under construction,"$719,900",4 bd,3.5 ba,"2,968 ft²","241 Farmhouse Dr, Madison, AL",Bridgeport in Clift Farm
21,Under construction,"$460,825",3 bd,2.5 ba,"2,060 ft²","241 Haystack Dr, Madison, AL",Hickory Cottage in Clift Farm
22,Under construction,"$331,750",3 bd,2 ba,"1,846 ft²","14765 Greenleaf Dr, Athens, AL",Residence 1846 in Browns Crossing West
23,Under construction,"$318,950",3 bd,2 ba,"1,696 ft²","14729 Greenleaf Dr, Athens, AL",Residence 1696 in Browns Crossing West
24,Under construction,"$332,750",4 bd,2 ba,"1,815 ft²","14741 Greenleaf Dr, Athens, AL",Residence 1815 in Browns Crossing West
25,Under construction,"$332,125",3 bd,2 ba,"1,911 ft²","14764 Greenleaf Dr, Athens, AL",Residence 1911 in Browns Crossing West
26,Under construction,"$340,750",3 bd,2 ba,"2,033 ft²","14753 Greenleaf Dr, Athens, AL",Residence 2033 in Browns Crossing West
27,Under construction,"$345,965",3 bd,2 ba,"1,837 ft²","148 Rugby Drive, Madison, AL",Residence 1837 in Bradford Station
28,Under construction,"$344,965",3 bd,2 ba,"1,837 ft²","157 Rugby Drive, Madison, AL",Residence 1837 in Bradford Station
29,Under construction,"$344,715",3 bd,2 ba,"1,837 ft²","158 Rugby Drive, Madison, AL",Residence 1837 in Bradford Station
30,Under construction,"$345,965",3 bd,2 ba,"1,837 ft²","166 Rugby Drive, Madison, AL",Residence 1837 in Bradford Station
31,Under construction,"$345,965",3 bd,2 ba,"1,837 ft²","167 Rugby Drive, Madison, AL",Residence 1837 in Bradford Station
32,Under construction,"$344,715",3 bd,2 ba,"1,850 ft²","150 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
33,Under construction,"$345,965",3 bd,2 ba,"1,850 ft²","152 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
34,Under construction,"$344,715",3 bd,2 ba,"1,850 ft²","154 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
35,Under construction,"$344,715",3 bd,2 ba,"1,850 ft²","159 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
36,Under construction,"$344,965",3 bd,2 ba,"1,850 ft²","156 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
37,Under construction,"$345,965",3 bd,2 ba,"1,850 ft²","162 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
38,Under construction,"$344,715",3 bd,2 ba,"1,850 ft²","164 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
39,Under construction,"$345,965",3 bd,2 ba,"1,850 ft²","161 Rugby Drive, Madison, AL",Residence 1850 in Bradford Station
